"Step","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/ssim","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/ssim__MIN","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/ssim__MAX","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/ssim","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/ssim__MIN","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/ssim__MAX","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/ssim","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/ssim__MIN","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/ssim__MAX"
"5000","0.8386889696121216","0.8386889696121216","0.8386889696121216","0.7441989183425903","0.7441989183425903","0.7441989183425903","0.790713906288147","0.790713906288147","0.790713906288147"
"10000","0.852949321269989","0.852949321269989","0.852949321269989","0.7584609985351562","0.7584609985351562","0.7584609985351562","0.8017913103103638","0.8017913103103638","0.8017913103103638"
"15000","0.8319858312606812","0.8319858312606812","0.8319858312606812","0.76283198595047","0.76283198595047","0.76283198595047","0.8061128854751587","0.8061128854751587","0.8061128854751587"
"20000","","","","0.7667044401168823","0.7667044401168823","0.7667044401168823","0.8089658617973328","0.8089658617973328","0.8089658617973328"
"25000","","","","0.7689932584762573","0.7689932584762573","0.7689932584762573","0.8091313242912292","0.8091313242912292","0.8091313242912292"
"30000","","","","0.7690567374229431","0.7690567374229431","0.7690567374229431","0.8103988766670227","0.8103988766670227","0.8103988766670227"
"35000","","","","0.7682633996009827","0.7682633996009827","0.7682633996009827","0.8091017007827759","0.8091017007827759","0.8091017007827759"
"40000","","","","0.7684017419815063","0.7684017419815063","0.7684017419815063","0.8084505200386047","0.8084505200386047","0.8084505200386047"
