"Step","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/lpips","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/lpips__MIN","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/lpips__MAX","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/lpips","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/lpips__MIN","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/lpips__MAX","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/lpips","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/lpips__MIN","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/lpips__MAX","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/lpips","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/lpips__MIN","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/lpips__MAX","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/lpips","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/lpips__MIN","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/lpips__MAX"
"5000","0.31748494505882263","0.31748494505882263","0.31748494505882263","0.3821852207183838","0.3821852207183838","0.3821852207183838","0.26389819383621216","0.26389819383621216","0.26389819383621216","0.33440786600112915","0.33440786600112915","0.33440786600112915","0.34522777795791626","0.34522777795791626","0.34522777795791626"
"10000","0.24969510734081268","0.24969510734081268","0.24969510734081268","0.30880823731422424","0.30880823731422424","0.30880823731422424","0.20691624283790588","0.20691624283790588","0.20691624283790588","0.2563706636428833","0.2563706636428833","0.2563706636428833","0.26553529500961304","0.26553529500961304","0.26553529500961304"
"15000","0.22331266105175018","0.22331266105175018","0.22331266105175018","0.2924305200576782","0.2924305200576782","0.2924305200576782","0.173646479845047","0.173646479845047","0.173646479845047","0.22544880211353302","0.22544880211353302","0.22544880211353302","0.2462693750858307","0.2462693750858307","0.2462693750858307"
"20000","0.20173081755638123","0.20173081755638123","0.20173081755638123","0.2811935544013977","0.2811935544013977","0.2811935544013977","0.16514107584953308","0.16514107584953308","0.16514107584953308","0.20549876987934113","0.20549876987934113","0.20549876987934113","0.22418275475502014","0.22418275475502014","0.22418275475502014"
"25000","0.19086334109306335","0.19086334109306335","0.19086334109306335","0.26625269651412964","0.26625269651412964","0.26625269651412964","0.15366975963115692","0.15366975963115692","0.15366975963115692","0.20081016421318054","0.20081016421318054","0.20081016421318054","0.21523359417915344","0.21523359417915344","0.21523359417915344"
"30000","0.1859380006790161","0.1859380006790161","0.1859380006790161","0.26653799414634705","0.26653799414634705","0.26653799414634705","0.15233077108860016","0.15233077108860016","0.15233077108860016","0.19154101610183716","0.19154101610183716","0.19154101610183716","0.21004793047904968","0.21004793047904968","0.21004793047904968"
"35000","0.18106229603290558","0.18106229603290558","0.18106229603290558","0.2592838406562805","0.2592838406562805","0.2592838406562805","0.14533798396587372","0.14533798396587372","0.14533798396587372","0.18549597263336182","0.18549597263336182","0.18549597263336182","0.2072310447692871","0.2072310447692871","0.2072310447692871"
"40000","0.17522506415843964","0.17522506415843964","0.17522506415843964","0.2554703652858734","0.2554703652858734","0.2554703652858734","0.14425233006477356","0.14425233006477356","0.14425233006477356","0.18237391114234924","0.18237391114234924","0.18237391114234924","0.20239853858947754","0.20239853858947754","0.20239853858947754"
