"Step","12139546_240930_003147S30_UN4_CN4 - val_val_ref_lpips","12139546_240930_003147S30_UN4_CN4 - val_val_ref_lpips__MIN","12139546_240930_003147S30_UN4_CN4 - val_val_ref_lpips__MAX","12139541_240930_002145S20_UN4_CN4 - val_val_ref_lpips","12139541_240930_002145S20_UN4_CN4 - val_val_ref_lpips__MIN","12139541_240930_002145S20_UN4_CN4 - val_val_ref_lpips__MAX","12139540_240930_001906S10_UN4_CN4 - val_val_ref_lpips","12139540_240930_001906S10_UN4_CN4 - val_val_ref_lpips__MIN","12139540_240930_001906S10_UN4_CN4 - val_val_ref_lpips__MAX","12139536_240930_001525S30_UN4_CN4 - val_val_ref_lpips","12139536_240930_001525S30_UN4_CN4 - val_val_ref_lpips__MIN","12139536_240930_001525S30_UN4_CN4 - val_val_ref_lpips__MAX","12139535_240930_000850S20_UN4_CN4 - val_val_ref_lpips","12139535_240930_000850S20_UN4_CN4 - val_val_ref_lpips__MIN","12139535_240930_000850S20_UN4_CN4 - val_val_ref_lpips__MAX","12139532_240930_000449S10_UN4_CN4 - val_val_ref_lpips","12139532_240930_000449S10_UN4_CN4 - val_val_ref_lpips__MIN","12139532_240930_000449S10_UN4_CN4 - val_val_ref_lpips__MAX","12139528_240929_235208S30_UN4_CN4 - val_val_ref_lpips","12139528_240929_235208S30_UN4_CN4 - val_val_ref_lpips__MIN","12139528_240929_235208S30_UN4_CN4 - val_val_ref_lpips__MAX","12139525_240929_232947S20_UN4_CN4 - val_val_ref_lpips","12139525_240929_232947S20_UN4_CN4 - val_val_ref_lpips__MIN","12139525_240929_232947S20_UN4_CN4 - val_val_ref_lpips__MAX","12139524_240929_232850S10_UN4_CN4 - val_val_ref_lpips","12139524_240929_232850S10_UN4_CN4 - val_val_ref_lpips__MIN","12139524_240929_232850S10_UN4_CN4 - val_val_ref_lpips__MAX","12139520_240929_232302S30_UN4_CN4 - val_val_ref_lpips","12139520_240929_232302S30_UN4_CN4 - val_val_ref_lpips__MIN","12139520_240929_232302S30_UN4_CN4 - val_val_ref_lpips__MAX","12139519_240929_232250S20_UN4_CN4 - val_val_ref_lpips","12139519_240929_232250S20_UN4_CN4 - val_val_ref_lpips__MIN","12139519_240929_232250S20_UN4_CN4 - val_val_ref_lpips__MAX","12139518_240929_232231S10_UN4_CN4 - val_val_ref_lpips","12139518_240929_232231S10_UN4_CN4 - val_val_ref_lpips__MIN","12139518_240929_232231S10_UN4_CN4 - val_val_ref_lpips__MAX","12139514_240929_232129S30_UN4_CN4 - val_val_ref_lpips","12139514_240929_232129S30_UN4_CN4 - val_val_ref_lpips__MIN","12139514_240929_232129S30_UN4_CN4 - val_val_ref_lpips__MAX","12139512_240929_232056S10_UN4_CN4 - val_val_ref_lpips","12139512_240929_232056S10_UN4_CN4 - val_val_ref_lpips__MIN","12139512_240929_232056S10_UN4_CN4 - val_val_ref_lpips__MAX","12139513_240929_232052S20_UN4_CN4 - val_val_ref_lpips","12139513_240929_232052S20_UN4_CN4 - val_val_ref_lpips__MIN","12139513_240929_232052S20_UN4_CN4 - val_val_ref_lpips__MAX","12139488_240929_231736S10_UN4 - val_val_ref_lpips","12139488_240929_231736S10_UN4 - val_val_ref_lpips__MIN","12139488_240929_231736S10_UN4 - val_val_ref_lpips__MAX","12139495_240929_231734S20_UN4 - val_val_ref_lpips","12139495_240929_231734S20_UN4 - val_val_ref_lpips__MIN","12139495_240929_231734S20_UN4 - val_val_ref_lpips__MAX","12139501_240929_231732S20_UN4 - val_val_ref_lpips","12139501_240929_231732S20_UN4 - val_val_ref_lpips__MIN","12139501_240929_231732S20_UN4 - val_val_ref_lpips__MAX","12139490_240929_231736S30_UN4 - val_val_ref_lpips","12139490_240929_231736S30_UN4 - val_val_ref_lpips__MIN","12139490_240929_231736S30_UN4 - val_val_ref_lpips__MAX","12139502_240929_231732S30_UN4 - val_val_ref_lpips","12139502_240929_231732S30_UN4 - val_val_ref_lpips__MIN","12139502_240929_231732S30_UN4 - val_val_ref_lpips__MAX","12139500_240929_231732S10_UN4 - val_val_ref_lpips","12139500_240929_231732S10_UN4 - val_val_ref_lpips__MIN","12139500_240929_231732S10_UN4 - val_val_ref_lpips__MAX","12139489_240929_231736S20_UN4 - val_val_ref_lpips","12139489_240929_231736S20_UN4 - val_val_ref_lpips__MIN","12139489_240929_231736S20_UN4 - val_val_ref_lpips__MAX","12139496_240929_231736S30_UN4 - val_val_ref_lpips","12139496_240929_231736S30_UN4 - val_val_ref_lpips__MIN","12139496_240929_231736S30_UN4 - val_val_ref_lpips__MAX","12139483_240929_231732S20_UN4 - val_val_ref_lpips","12139483_240929_231732S20_UN4 - val_val_ref_lpips__MIN","12139483_240929_231732S20_UN4 - val_val_ref_lpips__MAX","12139484_240929_231732S30_UN4 - val_val_ref_lpips","12139484_240929_231732S30_UN4 - val_val_ref_lpips__MIN","12139484_240929_231732S30_UN4 - val_val_ref_lpips__MAX","12139494_240929_231730S10_UN4 - val_val_ref_lpips","12139494_240929_231730S10_UN4 - val_val_ref_lpips__MIN","12139494_240929_231730S10_UN4 - val_val_ref_lpips__MAX","12139482_240929_231728S10_UN4 - val_val_ref_lpips","12139482_240929_231728S10_UN4 - val_val_ref_lpips__MIN","12139482_240929_231728S10_UN4 - val_val_ref_lpips__MAX","12139506_240929_231707S10_UN4 - val_val_ref_lpips","12139506_240929_231707S10_UN4 - val_val_ref_lpips__MIN","12139506_240929_231707S10_UN4 - val_val_ref_lpips__MAX","12139508_240929_231705S30_UN4 - val_val_ref_lpips","12139508_240929_231705S30_UN4 - val_val_ref_lpips__MIN","12139508_240929_231705S30_UN4 - val_val_ref_lpips__MAX","12139507_240929_231705S20_UN4 - val_val_ref_lpips","12139507_240929_231705S20_UN4 - val_val_ref_lpips__MIN","12139507_240929_231705S20_UN4 - val_val_ref_lpips__MAX"
"80","0.5665052533149719","0.5665052533149719","0.5665052533149719","0.5562084913253784","0.5562084913253784","0.5562084913253784","0.5372027158737183","0.5372027158737183","0.5372027158737183","0.5642204880714417","0.5642204880714417","0.5642204880714417","0.5526474714279175","0.5526474714279175","0.5526474714279175","0.5316271185874939","0.5316271185874939","0.5316271185874939","0.6600793600082397","0.6600793600082397","0.6600793600082397","0.6435165405273438","0.6435165405273438","0.6435165405273438","0.6243574619293213","0.6243574619293213","0.6243574619293213","0.567956805229187","0.567956805229187","0.567956805229187","0.567065954208374","0.567065954208374","0.567065954208374","0.5478423833847046","0.5478423833847046","0.5478423833847046","0.5146698951721191","0.5146698951721191","0.5146698951721191","0.48841115832328796","0.48841115832328796","0.48841115832328796","0.5029646754264832","0.5029646754264832","0.5029646754264832","0.5500227212905884","0.5500227212905884","0.5500227212905884","0.6434367895126343","0.6434367895126343","0.6434367895126343","0.5513372421264648","0.5513372421264648","0.5513372421264648","0.5708302855491638","0.5708302855491638","0.5708302855491638","0.5663981437683105","0.5663981437683105","0.5663981437683105","0.5317716598510742","0.5317716598510742","0.5317716598510742","0.5755411982536316","0.5755411982536316","0.5755411982536316","0.665660560131073","0.665660560131073","0.665660560131073","0.5086326003074646","0.5086326003074646","0.5086326003074646","0.5235506892204285","0.5235506892204285","0.5235506892204285","0.6233726739883423","0.6233726739883423","0.6233726739883423","0.49194443225860596","0.49194443225860596","0.49194443225860596","0.5387603640556335","0.5387603640556335","0.5387603640556335","0.5717304348945618","0.5717304348945618","0.5717304348945618","0.5580824017524719","0.5580824017524719","0.5580824017524719"
"160","0.5562098026275635","0.5562098026275635","0.5562098026275635","0.5506374835968018","0.5506374835968018","0.5506374835968018","0.5332397222518921","0.5332397222518921","0.5332397222518921","0.5721295475959778","0.5721295475959778","0.5721295475959778","0.548940896987915","0.548940896987915","0.548940896987915","0.5262683629989624","0.5262683629989624","0.5262683629989624","0.6617229580879211","0.6617229580879211","0.6617229580879211","0.6456241607666016","0.6456241607666016","0.6456241607666016","0.6258434057235718","0.6258434057235718","0.6258434057235718","0.5611988306045532","0.5611988306045532","0.5611988306045532","0.5537585616111755","0.5537585616111755","0.5537585616111755","0.5464051961898804","0.5464051961898804","0.5464051961898804","0.5166483521461487","0.5166483521461487","0.5166483521461487","0.48142755031585693","0.48142755031585693","0.48142755031585693","0.5011415481567383","0.5011415481567383","0.5011415481567383","0.5479085445404053","0.5479085445404053","0.5479085445404053","0.6478404402732849","0.6478404402732849","0.6478404402732849","0.5433476567268372","0.5433476567268372","0.5433476567268372","0.5691045522689819","0.5691045522689819","0.5691045522689819","0.573600172996521","0.573600172996521","0.573600172996521","0.5281622409820557","0.5281622409820557","0.5281622409820557","0.5612500309944153","0.5612500309944153","0.5612500309944153","0.6599252820014954","0.6599252820014954","0.6599252820014954","0.5052546858787537","0.5052546858787537","0.5052546858787537","0.5171201825141907","0.5171201825141907","0.5171201825141907","0.6254509091377258","0.6254509091377258","0.6254509091377258","0.48604533076286316","0.48604533076286316","0.48604533076286316","0.5339998006820679","0.5339998006820679","0.5339998006820679","0.5581502318382263","0.5581502318382263","0.5581502318382263","0.5533941984176636","0.5533941984176636","0.5533941984176636"
"240","0.5521432161331177","0.5521432161331177","0.5521432161331177","0.5449112057685852","0.5449112057685852","0.5449112057685852","0.5341451168060303","0.5341451168060303","0.5341451168060303","0.5695902705192566","0.5695902705192566","0.5695902705192566","0.5591245889663696","0.5591245889663696","0.5591245889663696","0.5272444486618042","0.5272444486618042","0.5272444486618042","0.6252203583717346","0.6252203583717346","0.6252203583717346","0.6464201211929321","0.6464201211929321","0.6464201211929321","0.6179276704788208","0.6179276704788208","0.6179276704788208","0.561995267868042","0.561995267868042","0.561995267868042","0.5578972697257996","0.5578972697257996","0.5578972697257996","0.5413002967834473","0.5413002967834473","0.5413002967834473","0.506678581237793","0.506678581237793","0.506678581237793","0.4800855219364166","0.4800855219364166","0.4800855219364166","0.49036726355552673","0.49036726355552673","0.49036726355552673","0.5421398878097534","0.5421398878097534","0.5421398878097534","0.6445316076278687","0.6445316076278687","0.6445316076278687","0.5543420314788818","0.5543420314788818","0.5543420314788818","0.5622050166130066","0.5622050166130066","0.5622050166130066","0.5639632940292358","0.5639632940292358","0.5639632940292358","0.5288814902305603","0.5288814902305603","0.5288814902305603","0.5672061443328857","0.5672061443328857","0.5672061443328857","0.634283721446991","0.634283721446991","0.634283721446991","0.494757741689682","0.494757741689682","0.494757741689682","0.5083974599838257","0.5083974599838257","0.5083974599838257","0.6193565130233765","0.6193565130233765","0.6193565130233765","0.48455551266670227","0.48455551266670227","0.48455551266670227","0.5360715985298157","0.5360715985298157","0.5360715985298157","0.5550645589828491","0.5550645589828491","0.5550645589828491","0.548510730266571","0.548510730266571","0.548510730266571"
"320","0.5696361660957336","0.5696361660957336","0.5696361660957336","0.5453039407730103","0.5453039407730103","0.5453039407730103","0.532253623008728","0.532253623008728","0.532253623008728","0.5785869359970093","0.5785869359970093","0.5785869359970093","0.5569322109222412","0.5569322109222412","0.5569322109222412","0.5315333604812622","0.5315333604812622","0.5315333604812622","0.6311578154563904","0.6311578154563904","0.6311578154563904","0.6401098370552063","0.6401098370552063","0.6401098370552063","0.6148731112480164","0.6148731112480164","0.6148731112480164","0.5671442747116089","0.5671442747116089","0.5671442747116089","0.5510087013244629","0.5510087013244629","0.5510087013244629","0.5445667505264282","0.5445667505264282","0.5445667505264282","0.5013251900672913","0.5013251900672913","0.5013251900672913","0.4803812503814697","0.4803812503814697","0.4803812503814697","0.4797707796096802","0.4797707796096802","0.4797707796096802","0.5430148243904114","0.5430148243904114","0.5430148243904114","0.6347535848617554","0.6347535848617554","0.6347535848617554","0.5443419218063354","0.5443419218063354","0.5443419218063354","0.5694847106933594","0.5694847106933594","0.5694847106933594","0.5838326215744019","0.5838326215744019","0.5838326215744019","0.5316140055656433","0.5316140055656433","0.5316140055656433","0.5523026585578918","0.5523026585578918","0.5523026585578918","0.6509196758270264","0.6509196758270264","0.6509196758270264","0.48380357027053833","0.48380357027053833","0.48380357027053833","0.5079917907714844","0.5079917907714844","0.5079917907714844","0.6184825301170349","0.6184825301170349","0.6184825301170349","0.4845619201660156","0.4845619201660156","0.4845619201660156","0.5356568694114685","0.5356568694114685","0.5356568694114685","0.5694641470909119","0.5694641470909119","0.5694641470909119","0.5429818630218506","0.5429818630218506","0.5429818630218506"
"400","0.5661547183990479","0.5661547183990479","0.5661547183990479","0.5520040988922119","0.5520040988922119","0.5520040988922119","0.5273273587226868","0.5273273587226868","0.5273273587226868","0.5846199989318848","0.5846199989318848","0.5846199989318848","0.5576645731925964","0.5576645731925964","0.5576645731925964","0.5387201905250549","0.5387201905250549","0.5387201905250549","0.6597563624382019","0.6597563624382019","0.6597563624382019","0.6267483830451965","0.6267483830451965","0.6267483830451965","0.6141391396522522","0.6141391396522522","0.6141391396522522","0.577925443649292","0.577925443649292","0.577925443649292","0.5489707589149475","0.5489707589149475","0.5489707589149475","0.5390295386314392","0.5390295386314392","0.5390295386314392","0.5016347765922546","0.5016347765922546","0.5016347765922546","0.47329646348953247","0.47329646348953247","0.47329646348953247","0.4902503788471222","0.4902503788471222","0.4902503788471222","0.5417376756668091","0.5417376756668091","0.5417376756668091","0.6249325275421143","0.6249325275421143","0.6249325275421143","0.5447598695755005","0.5447598695755005","0.5447598695755005","0.561156153678894","0.561156153678894","0.561156153678894","0.5811300873756409","0.5811300873756409","0.5811300873756409","0.5368276834487915","0.5368276834487915","0.5368276834487915","0.5516829490661621","0.5516829490661621","0.5516829490661621","0.6631964445114136","0.6631964445114136","0.6631964445114136","0.4921198785305023","0.4921198785305023","0.4921198785305023","0.5100696682929993","0.5100696682929993","0.5100696682929993","0.6185514330863953","0.6185514330863953","0.6185514330863953","0.47646212577819824","0.47646212577819824","0.47646212577819824","0.529305100440979","0.529305100440979","0.529305100440979","0.5647882223129272","0.5647882223129272","0.5647882223129272","0.5489833950996399","0.5489833950996399","0.5489833950996399"
"480","0.555633008480072","0.555633008480072","0.555633008480072","0.5457820296287537","0.5457820296287537","0.5457820296287537","0.5359955430030823","0.5359955430030823","0.5359955430030823","0.5895580053329468","0.5895580053329468","0.5895580053329468","0.5627517104148865","0.5627517104148865","0.5627517104148865","0.5288762450218201","0.5288762450218201","0.5288762450218201","0.64808589220047","0.64808589220047","0.64808589220047","0.635195791721344","0.635195791721344","0.635195791721344","0.6194521188735962","0.6194521188735962","0.6194521188735962","0.5689358711242676","0.5689358711242676","0.5689358711242676","0.5500982999801636","0.5500982999801636","0.5500982999801636","0.5423782467842102","0.5423782467842102","0.5423782467842102","0.49514052271842957","0.49514052271842957","0.49514052271842957","0.47972261905670166","0.47972261905670166","0.47972261905670166","0.48579108715057373","0.48579108715057373","0.48579108715057373","0.542937695980072","0.542937695980072","0.542937695980072","0.6354653835296631","0.6354653835296631","0.6354653835296631","0.5482232570648193","0.5482232570648193","0.5482232570648193","0.5562810897827148","0.5562810897827148","0.5562810897827148","0.5909568071365356","0.5909568071365356","0.5909568071365356","0.5263347029685974","0.5263347029685974","0.5263347029685974","0.5523704290390015","0.5523704290390015","0.5523704290390015","0.6421826481819153","0.6421826481819153","0.6421826481819153","0.48970866203308105","0.48970866203308105","0.48970866203308105","0.4974178671836853","0.4974178671836853","0.4974178671836853","0.6210612058639526","0.6210612058639526","0.6210612058639526","0.4830900728702545","0.4830900728702545","0.4830900728702545","0.5359622836112976","0.5359622836112976","0.5359622836112976","0.5477627515792847","0.5477627515792847","0.5477627515792847","0.5457879304885864","0.5457879304885864","0.5457879304885864"
"560","0.566527247428894","0.566527247428894","0.566527247428894","0.5504565238952637","0.5504565238952637","0.5504565238952637","0.534384548664093","0.534384548664093","0.534384548664093","0.598560631275177","0.598560631275177","0.598560631275177","0.5610109567642212","0.5610109567642212","0.5610109567642212","0.5381602048873901","0.5381602048873901","0.5381602048873901","0.6421292424201965","0.6421292424201965","0.6421292424201965","0.6351093053817749","0.6351093053817749","0.6351093053817749","0.6210060119628906","0.6210060119628906","0.6210060119628906","0.5772511959075928","0.5772511959075928","0.5772511959075928","0.5499033331871033","0.5499033331871033","0.5499033331871033","0.5425045490264893","0.5425045490264893","0.5425045490264893","0.5044636726379395","0.5044636726379395","0.5044636726379395","0.47964462637901306","0.47964462637901306","0.47964462637901306","0.48615148663520813","0.48615148663520813","0.48615148663520813","0.5420603156089783","0.5420603156089783","0.5420603156089783","0.6356192231178284","0.6356192231178284","0.6356192231178284","0.5455309748649597","0.5455309748649597","0.5455309748649597","0.561227560043335","0.561227560043335","0.561227560043335","0.5831581950187683","0.5831581950187683","0.5831581950187683","0.5368789434432983","0.5368789434432983","0.5368789434432983","0.550122857093811","0.550122857093811","0.550122857093811","0.6438336968421936","0.6438336968421936","0.6438336968421936","0.4900396466255188","0.4900396466255188","0.4900396466255188","0.5066246390342712","0.5066246390342712","0.5066246390342712","0.6249125003814697","0.6249125003814697","0.6249125003814697","0.4842317998409271","0.4842317998409271","0.4842317998409271","0.5345991849899292","0.5345991849899292","0.5345991849899292","0.5639791488647461","0.5639791488647461","0.5639791488647461","0.543281614780426","0.543281614780426","0.543281614780426"
"640","0.5702242851257324","0.5702242851257324","0.5702242851257324","0.5480289459228516","0.5480289459228516","0.5480289459228516","0.5328254699707031","0.5328254699707031","0.5328254699707031","0.5945330262184143","0.5945330262184143","0.5945330262184143","0.5682876110076904","0.5682876110076904","0.5682876110076904","0.5376653075218201","0.5376653075218201","0.5376653075218201","0.669794499874115","0.669794499874115","0.669794499874115","0.636512279510498","0.636512279510498","0.636512279510498","0.6203055381774902","0.6203055381774902","0.6203055381774902","0.5805960297584534","0.5805960297584534","0.5805960297584534","0.5569619536399841","0.5569619536399841","0.5569619536399841","0.5455767512321472","0.5455767512321472","0.5455767512321472","0.5123603940010071","0.5123603940010071","0.5123603940010071","0.4774303436279297","0.4774303436279297","0.4774303436279297","0.485577791929245","0.485577791929245","0.485577791929245","0.5415754318237305","0.5415754318237305","0.5415754318237305","0.6368712782859802","0.6368712782859802","0.6368712782859802","0.5529434084892273","0.5529434084892273","0.5529434084892273","0.5647338032722473","0.5647338032722473","0.5647338032722473","0.5811886787414551","0.5811886787414551","0.5811886787414551","0.5374932885169983","0.5374932885169983","0.5374932885169983","0.5530728101730347","0.5530728101730347","0.5530728101730347","0.6600517630577087","0.6600517630577087","0.6600517630577087","0.48704129457473755","0.48704129457473755","0.48704129457473755","0.5068939328193665","0.5068939328193665","0.5068939328193665","0.6238572001457214","0.6238572001457214","0.6238572001457214","0.4837126135826111","0.4837126135826111","0.4837126135826111","0.5341261625289917","0.5341261625289917","0.5341261625289917","0.5618338584899902","0.5618338584899902","0.5618338584899902","0.5433244705200195","0.5433244705200195","0.5433244705200195"
"720","0.5620238780975342","0.5620238780975342","0.5620238780975342","0.5532010197639465","0.5532010197639465","0.5532010197639465","0.5379517078399658","0.5379517078399658","0.5379517078399658","0.5973997712135315","0.5973997712135315","0.5973997712135315","0.5757367610931396","0.5757367610931396","0.5757367610931396","0.5367169380187988","0.5367169380187988","0.5367169380187988","0.6359525918960571","0.6359525918960571","0.6359525918960571","0.6337015628814697","0.6337015628814697","0.6337015628814697","0.6145718693733215","0.6145718693733215","0.6145718693733215","0.5795528292655945","0.5795528292655945","0.5795528292655945","0.5556607842445374","0.5556607842445374","0.5556607842445374","0.5444401502609253","0.5444401502609253","0.5444401502609253","0.49606871604919434","0.49606871604919434","0.49606871604919434","0.47747012972831726","0.47747012972831726","0.47747012972831726","0.48681655526161194","0.48681655526161194","0.48681655526161194","0.5441440343856812","0.5441440343856812","0.5441440343856812","0.6282349228858948","0.6282349228858948","0.6282349228858948","0.5538157224655151","0.5538157224655151","0.5538157224655151","0.5661976337432861","0.5661976337432861","0.5661976337432861","0.5867869257926941","0.5867869257926941","0.5867869257926941","0.5349012613296509","0.5349012613296509","0.5349012613296509","0.5486218333244324","0.5486218333244324","0.5486218333244324","0.6379827260971069","0.6379827260971069","0.6379827260971069","0.4871675968170166","0.4871675968170166","0.4871675968170166","0.49317657947540283","0.49317657947540283","0.49317657947540283","0.617670476436615","0.617670476436615","0.617670476436615","0.4814313054084778","0.4814313054084778","0.4814313054084778","0.5373415946960449","0.5373415946960449","0.5373415946960449","0.554721474647522","0.554721474647522","0.554721474647522","0.5470425486564636","0.5470425486564636","0.5470425486564636"
"800","0.5670034885406494","0.5670034885406494","0.5670034885406494","0.5572423934936523","0.5572423934936523","0.5572423934936523","0.5339157581329346","0.5339157581329346","0.5339157581329346","0.6024181842803955","0.6024181842803955","0.6024181842803955","0.576392412185669","0.576392412185669","0.576392412185669","0.5342383980751038","0.5342383980751038","0.5342383980751038","0.646889328956604","0.646889328956604","0.646889328956604","0.6352613568305969","0.6352613568305969","0.6352613568305969","0.6203035712242126","0.6203035712242126","0.6203035712242126","0.5963212251663208","0.5963212251663208","0.5963212251663208","0.5634844899177551","0.5634844899177551","0.5634844899177551","0.5479065179824829","0.5479065179824829","0.5479065179824829","0.5115674138069153","0.5115674138069153","0.5115674138069153","0.4729018211364746","0.4729018211364746","0.4729018211364746","0.4874421954154968","0.4874421954154968","0.4874421954154968","0.5439547896385193","0.5439547896385193","0.5439547896385193","0.6276374459266663","0.6276374459266663","0.6276374459266663","0.5589411854743958","0.5589411854743958","0.5589411854743958","0.568458616733551","0.568458616733551","0.568458616733551","0.5934103727340698","0.5934103727340698","0.5934103727340698","0.5337095260620117","0.5337095260620117","0.5337095260620117","0.5526546835899353","0.5526546835899353","0.5526546835899353","0.6423236727714539","0.6423236727714539","0.6423236727714539","0.489577054977417","0.489577054977417","0.489577054977417","0.5073282718658447","0.5073282718658447","0.5073282718658447","0.6217654943466187","0.6217654943466187","0.6217654943466187","0.4755699634552002","0.4755699634552002","0.4755699634552002","0.5317577719688416","0.5317577719688416","0.5317577719688416","0.5609952211380005","0.5609952211380005","0.5609952211380005","0.5511684417724609","0.5511684417724609","0.5511684417724609"
