"Step","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX"
"5000","217.58348083496094","217.58348083496094","217.58348083496094","169.94053649902344","169.94053649902344","169.94053649902344","172.07684326171875","172.07684326171875","172.07684326171875","306.7596130371094","306.7596130371094","306.7596130371094","211.92869567871094","211.92869567871094","211.92869567871094","309.2185363769531","309.2185363769531","309.2185363769531","212.3495330810547","212.3495330810547","212.3495330810547","177.1331024169922","177.1331024169922","177.1331024169922","297.5059814453125","297.5059814453125","297.5059814453125","216.99078369140625","216.99078369140625","216.99078369140625","171.90390014648438","171.90390014648438","171.90390014648438","320.05029296875","320.05029296875","320.05029296875"
"10000","218.2112274169922","218.2112274169922","218.2112274169922","171.61154174804688","171.61154174804688","171.61154174804688","172.5819549560547","172.5819549560547","172.5819549560547","306.4376525878906","306.4376525878906","306.4376525878906","217.62448120117188","217.62448120117188","217.62448120117188","302.0718078613281","302.0718078613281","302.0718078613281","243.05601501464844","243.05601501464844","243.05601501464844","174.75001525878906","174.75001525878906","174.75001525878906","307.400390625","307.400390625","307.400390625","250.62864685058594","250.62864685058594","250.62864685058594","176.62701416015625","176.62701416015625","176.62701416015625","309.44757080078125","309.44757080078125","309.44757080078125"
"15000","212.92477416992188","212.92477416992188","212.92477416992188","176.03793334960938","176.03793334960938","176.03793334960938","171.14527893066406","171.14527893066406","171.14527893066406","302.73724365234375","302.73724365234375","302.73724365234375","216.12759399414062","216.12759399414062","216.12759399414062","308.8811950683594","308.8811950683594","308.8811950683594","260.7419738769531","260.7419738769531","260.7419738769531","174.01904296875","174.01904296875","174.01904296875","295.7928466796875","295.7928466796875","295.7928466796875","","","","175.36851501464844","175.36851501464844","175.36851501464844","307.71197509765625","307.71197509765625","307.71197509765625"
"20000","215.30026245117188","215.30026245117188","215.30026245117188","168.86558532714844","168.86558532714844","168.86558532714844","171.1561737060547","171.1561737060547","171.1561737060547","309.791748046875","309.791748046875","309.791748046875","214.87046813964844","214.87046813964844","214.87046813964844","309.64227294921875","309.64227294921875","309.64227294921875","261.2912292480469","261.2912292480469","261.2912292480469","173.92938232421875","173.92938232421875","173.92938232421875","305.4065856933594","305.4065856933594","305.4065856933594","","","","176.50086975097656","176.50086975097656","176.50086975097656","313.1746826171875","313.1746826171875","313.1746826171875"
"25000","267.7862548828125","267.7862548828125","267.7862548828125","169.73728942871094","169.73728942871094","169.73728942871094","171.43264770507812","171.43264770507812","171.43264770507812","306.5469055175781","306.5469055175781","306.5469055175781","246.8027801513672","246.8027801513672","246.8027801513672","305.1297607421875","305.1297607421875","305.1297607421875","270.3252868652344","270.3252868652344","270.3252868652344","172.47500610351562","172.47500610351562","172.47500610351562","304.4825744628906","304.4825744628906","304.4825744628906","","","","172.02426147460938","172.02426147460938","172.02426147460938","312.4295654296875","312.4295654296875","312.4295654296875"
"30000","260.43463134765625","260.43463134765625","260.43463134765625","165.71771240234375","165.71771240234375","165.71771240234375","242.19134521484375","242.19134521484375","242.19134521484375","314.75518798828125","314.75518798828125","314.75518798828125","","","","311.1352844238281","311.1352844238281","311.1352844238281","268.0498046875","268.0498046875","268.0498046875","177.44815063476562","177.44815063476562","177.44815063476562","315.0771484375","315.0771484375","315.0771484375","","","","176.03172302246094","176.03172302246094","176.03172302246094","311.4608154296875","311.4608154296875","311.4608154296875"
"35000","266.3224182128906","266.3224182128906","266.3224182128906","168.36021423339844","168.36021423339844","168.36021423339844","","","","303.0702209472656","303.0702209472656","303.0702209472656","","","","310.5653381347656","310.5653381347656","310.5653381347656","","","","177.32965087890625","177.32965087890625","177.32965087890625","316.92755126953125","316.92755126953125","316.92755126953125","","","","174.6984405517578","174.6984405517578","174.6984405517578","313.6340637207031","313.6340637207031","313.6340637207031"
"40000","","","","167.92681884765625","167.92681884765625","167.92681884765625","","","","311.3607482910156","311.3607482910156","311.3607482910156","","","","313.1622619628906","313.1622619628906","313.1622619628906","","","","172.81875610351562","172.81875610351562","172.81875610351562","391.0235290527344","391.0235290527344","391.0235290527344","","","","173.21273803710938","173.21273803710938","173.21273803710938","317.5183410644531","317.5183410644531","317.5183410644531"
