"Step","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20241018_194215_12222555 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20241018_194215_12222555 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20241018_194215_12222555 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX"
"5000","85.37141418457031","85.37141418457031","85.37141418457031","128.76292419433594","128.76292419433594","128.76292419433594","164.0383758544922","164.0383758544922","164.0383758544922","144.2689971923828","144.2689971923828","144.2689971923828","136.3121795654297","136.3121795654297","136.3121795654297"
"10000","84.5710678100586","84.5710678100586","84.5710678100586","130.134033203125","130.134033203125","130.134033203125","161.7726287841797","161.7726287841797","161.7726287841797","","","","136.90147399902344","136.90147399902344","136.90147399902344"
"15000","84.38240051269531","84.38240051269531","84.38240051269531","129.453369140625","129.453369140625","129.453369140625","159.855224609375","159.855224609375","159.855224609375","","","","137.48385620117188","137.48385620117188","137.48385620117188"
"20000","85.80907440185547","85.80907440185547","85.80907440185547","124.11793518066406","124.11793518066406","124.11793518066406","154.36842346191406","154.36842346191406","154.36842346191406","","","","144.47201538085938","144.47201538085938","144.47201538085938"
"25000","87.92884826660156","87.92884826660156","87.92884826660156","124.7393798828125","124.7393798828125","124.7393798828125","154.33840942382812","154.33840942382812","154.33840942382812","","","","139.32839965820312","139.32839965820312","139.32839965820312"
"30000","85.62809753417969","85.62809753417969","85.62809753417969","124.78826904296875","124.78826904296875","124.78826904296875","154.53524780273438","154.53524780273438","154.53524780273438","","","","138.55007934570312","138.55007934570312","138.55007934570312"
"35000","88.40110778808594","88.40110778808594","88.40110778808594","126.77703857421875","126.77703857421875","126.77703857421875","155.6648406982422","155.6648406982422","155.6648406982422","","","","137.1871795654297","137.1871795654297","137.1871795654297"
"40000","85.83097839355469","85.83097839355469","85.83097839355469","136.33920288085938","136.33920288085938","136.33920288085938","156.35403442382812","156.35403442382812","156.35403442382812","","","","138.5057373046875","138.5057373046875","138.5057373046875"
