"Step","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/psnr","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/psnr__MIN","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/psnr__MAX","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/psnr","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/psnr__MIN","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/psnr__MAX","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/psnr","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/psnr__MIN","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/psnr__MAX","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/psnr","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/psnr__MIN","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/psnr__MAX","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/psnr","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/psnr__MIN","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/psnr__MAX","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/psnr","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/psnr__MIN","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/psnr__MAX","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/psnr","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/psnr__MIN","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/psnr__MAX","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/psnr","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/psnr__MIN","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/psnr__MAX","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/psnr","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/psnr__MIN","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/psnr__MAX","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/psnr","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/psnr__MIN","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/psnr__MAX","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/psnr","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/psnr__MIN","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/psnr__MAX","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/psnr","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/psnr__MIN","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/psnr__MAX"
"5000","26.491445541381836","26.491445541381836","26.491445541381836","25.75718116760254","25.75718116760254","25.75718116760254","25.871557235717773","25.871557235717773","25.871557235717773","26.41033363342285","26.41033363342285","26.41033363342285","26.616443634033203","26.616443634033203","26.616443634033203","26.417293548583984","26.417293548583984","26.417293548583984","26.429889678955078","26.429889678955078","26.429889678955078","25.82159423828125","25.82159423828125","25.82159423828125","26.224254608154297","26.224254608154297","26.224254608154297","26.037883758544922","26.037883758544922","26.037883758544922","25.80869483947754","25.80869483947754","25.80869483947754","26.295114517211914","26.295114517211914","26.295114517211914"
"10000","26.704050064086914","26.704050064086914","26.704050064086914","26.09613037109375","26.09613037109375","26.09613037109375","26.20218849182129","26.20218849182129","26.20218849182129","26.5899715423584","26.5899715423584","26.5899715423584","26.563030242919922","26.563030242919922","26.563030242919922","26.62735366821289","26.62735366821289","26.62735366821289","24.372867584228516","24.372867584228516","24.372867584228516","26.157886505126953","26.157886505126953","26.157886505126953","26.509037017822266","26.509037017822266","26.509037017822266","24.288021087646484","24.288021087646484","24.288021087646484","26.1795654296875","26.1795654296875","26.1795654296875","26.44757080078125","26.44757080078125","26.44757080078125"
"15000","26.845678329467773","26.845678329467773","26.845678329467773","26.22857093811035","26.22857093811035","26.22857093811035","26.17325210571289","26.17325210571289","26.17325210571289","26.8509521484375","26.8509521484375","26.8509521484375","26.99404525756836","26.99404525756836","26.99404525756836","26.760299682617188","26.760299682617188","26.760299682617188","23.073936462402344","23.073936462402344","23.073936462402344","26.333419799804688","26.333419799804688","26.333419799804688","26.577945709228516","26.577945709228516","26.577945709228516","","","","26.338459014892578","26.338459014892578","26.338459014892578","26.850421905517578","26.850421905517578","26.850421905517578"
"20000","27.001440048217773","27.001440048217773","27.001440048217773","26.430063247680664","26.430063247680664","26.430063247680664","26.373794555664062","26.373794555664062","26.373794555664062","26.76760482788086","26.76760482788086","26.76760482788086","26.92315673828125","26.92315673828125","26.92315673828125","26.8803768157959","26.8803768157959","26.8803768157959","23.06241226196289","23.06241226196289","23.06241226196289","26.405765533447266","26.405765533447266","26.405765533447266","26.842952728271484","26.842952728271484","26.842952728271484","","","","26.406963348388672","26.406963348388672","26.406963348388672","26.86759376525879","26.86759376525879","26.86759376525879"
"25000","22.480026245117188","22.480026245117188","22.480026245117188","26.4959659576416","26.4959659576416","26.4959659576416","26.39348793029785","26.39348793029785","26.39348793029785","26.794750213623047","26.794750213623047","26.794750213623047","26.167348861694336","26.167348861694336","26.167348861694336","26.96626853942871","26.96626853942871","26.96626853942871","22.296642303466797","22.296642303466797","22.296642303466797","26.3892879486084","26.3892879486084","26.3892879486084","26.910327911376953","26.910327911376953","26.910327911376953","","","","26.41225242614746","26.41225242614746","26.41225242614746","26.896982192993164","26.896982192993164","26.896982192993164"
"30000","22.52737808227539","22.52737808227539","22.52737808227539","26.4173583984375","26.4173583984375","26.4173583984375","24.534433364868164","24.534433364868164","24.534433364868164","26.948577880859375","26.948577880859375","26.948577880859375","","","","26.954391479492188","26.954391479492188","26.954391479492188","22.784509658813477","22.784509658813477","22.784509658813477","26.473522186279297","26.473522186279297","26.473522186279297","26.945247650146484","26.945247650146484","26.945247650146484","","","","26.405437469482422","26.405437469482422","26.405437469482422","26.903966903686523","26.903966903686523","26.903966903686523"
"35000","22.45067024230957","22.45067024230957","22.45067024230957","26.49015235900879","26.49015235900879","26.49015235900879","","","","26.667537689208984","26.667537689208984","26.667537689208984","","","","26.97188949584961","26.97188949584961","26.97188949584961","","","","26.5155086517334","26.5155086517334","26.5155086517334","26.84433937072754","26.84433937072754","26.84433937072754","","","","26.57647132873535","26.57647132873535","26.57647132873535","26.910961151123047","26.910961151123047","26.910961151123047"
"40000","","","","26.460134506225586","26.460134506225586","26.460134506225586","","","","26.761560440063477","26.761560440063477","26.761560440063477","","","","26.847705841064453","26.847705841064453","26.847705841064453","","","","26.452417373657227","26.452417373657227","26.452417373657227","24.758928298950195","24.758928298950195","24.758928298950195","","","","26.518901824951172","26.518901824951172","26.518901824951172","26.8762149810791","26.8762149810791","26.8762149810791"
