"Step","12139481_240930_010246S30_UN128_CN128 - val_val_ref_lpips","12139481_240930_010246S30_UN128_CN128 - val_val_ref_lpips__MIN","12139481_240930_010246S30_UN128_CN128 - val_val_ref_lpips__MAX","12139557_240930_010100S20_UN128_CN128 - val_val_ref_lpips","12139557_240930_010100S20_UN128_CN128 - val_val_ref_lpips__MIN","12139557_240930_010100S20_UN128_CN128 - val_val_ref_lpips__MAX","12139552_240930_004322S10_UN128_CN128 - val_val_ref_lpips","12139552_240930_004322S10_UN128_CN128 - val_val_ref_lpips__MIN","12139552_240930_004322S10_UN128_CN128 - val_val_ref_lpips__MAX","12139539_240930_001813S30_UN128_CN128 - val_val_ref_lpips","12139539_240930_001813S30_UN128_CN128 - val_val_ref_lpips__MIN","12139539_240930_001813S30_UN128_CN128 - val_val_ref_lpips__MAX","12139537_240930_001549S10_UN128_CN128 - val_val_ref_lpips","12139537_240930_001549S10_UN128_CN128 - val_val_ref_lpips__MIN","12139537_240930_001549S10_UN128_CN128 - val_val_ref_lpips__MAX","12139531_240929_235839S30_UN128_CN128 - val_val_ref_lpips","12139531_240929_235839S30_UN128_CN128 - val_val_ref_lpips__MIN","12139531_240929_235839S30_UN128_CN128 - val_val_ref_lpips__MAX","12139530_240929_235839S20_UN128_CN128 - val_val_ref_lpips","12139530_240929_235839S20_UN128_CN128 - val_val_ref_lpips__MIN","12139530_240929_235839S20_UN128_CN128 - val_val_ref_lpips__MAX","12139529_240929_235239S10_UN128_CN128 - val_val_ref_lpips","12139529_240929_235239S10_UN128_CN128 - val_val_ref_lpips__MIN","12139529_240929_235239S10_UN128_CN128 - val_val_ref_lpips__MAX","12139523_240929_232850S30_UN128_CN128 - val_val_ref_lpips","12139523_240929_232850S30_UN128_CN128 - val_val_ref_lpips__MIN","12139523_240929_232850S30_UN128_CN128 - val_val_ref_lpips__MAX","12139522_240929_232403S20_UN128_CN128 - val_val_ref_lpips","12139522_240929_232403S20_UN128_CN128 - val_val_ref_lpips__MIN","12139522_240929_232403S20_UN128_CN128 - val_val_ref_lpips__MAX","12139521_240929_232338S10_UN128_CN128 - val_val_ref_lpips","12139521_240929_232338S10_UN128_CN128 - val_val_ref_lpips__MIN","12139521_240929_232338S10_UN128_CN128 - val_val_ref_lpips__MAX","12139517_240929_232222S30_UN128_CN128 - val_val_ref_lpips","12139517_240929_232222S30_UN128_CN128 - val_val_ref_lpips__MIN","12139517_240929_232222S30_UN128_CN128 - val_val_ref_lpips__MAX","12139516_240929_232149S20_UN128_CN128 - val_val_ref_lpips","12139516_240929_232149S20_UN128_CN128 - val_val_ref_lpips__MIN","12139516_240929_232149S20_UN128_CN128 - val_val_ref_lpips__MAX","12139515_240929_232133S10_UN128_CN128 - val_val_ref_lpips","12139515_240929_232133S10_UN128_CN128 - val_val_ref_lpips__MIN","12139515_240929_232133S10_UN128_CN128 - val_val_ref_lpips__MAX","12139491_240929_231730S10_UN128 - val_val_ref_lpips","12139491_240929_231730S10_UN128 - val_val_ref_lpips__MIN","12139491_240929_231730S10_UN128 - val_val_ref_lpips__MAX","12139492_240929_231730S20_UN128 - val_val_ref_lpips","12139492_240929_231730S20_UN128 - val_val_ref_lpips__MIN","12139492_240929_231730S20_UN128 - val_val_ref_lpips__MAX","12139487_240929_231736S30_UN128 - val_val_ref_lpips","12139487_240929_231736S30_UN128 - val_val_ref_lpips__MIN","12139487_240929_231736S30_UN128 - val_val_ref_lpips__MAX","12139485_240929_231732S10_UN128 - val_val_ref_lpips","12139485_240929_231732S10_UN128 - val_val_ref_lpips__MIN","12139485_240929_231732S10_UN128 - val_val_ref_lpips__MAX","12139497_240929_231734S10_UN128 - val_val_ref_lpips","12139497_240929_231734S10_UN128 - val_val_ref_lpips__MIN","12139497_240929_231734S10_UN128 - val_val_ref_lpips__MAX","12139498_240929_231734S20_UN128 - val_val_ref_lpips","12139498_240929_231734S20_UN128 - val_val_ref_lpips__MIN","12139498_240929_231734S20_UN128 - val_val_ref_lpips__MAX","12139486_240929_231732S20_UN128 - val_val_ref_lpips","12139486_240929_231732S20_UN128 - val_val_ref_lpips__MIN","12139486_240929_231732S20_UN128 - val_val_ref_lpips__MAX","12139499_240929_231732S30_UN128 - val_val_ref_lpips","12139499_240929_231732S30_UN128 - val_val_ref_lpips__MIN","12139499_240929_231732S30_UN128 - val_val_ref_lpips__MAX","12139504_240929_231707S20_UN128 - val_val_ref_lpips","12139504_240929_231707S20_UN128 - val_val_ref_lpips__MIN","12139504_240929_231707S20_UN128 - val_val_ref_lpips__MAX","12139505_240929_231707S30_UN128 - val_val_ref_lpips","12139505_240929_231707S30_UN128 - val_val_ref_lpips__MIN","12139505_240929_231707S30_UN128 - val_val_ref_lpips__MAX","12139503_240929_231707S10_UN128 - val_val_ref_lpips","12139503_240929_231707S10_UN128 - val_val_ref_lpips__MIN","12139503_240929_231707S10_UN128 - val_val_ref_lpips__MAX","12139510_240929_231705S20_UN128 - val_val_ref_lpips","12139510_240929_231705S20_UN128 - val_val_ref_lpips__MIN","12139510_240929_231705S20_UN128 - val_val_ref_lpips__MAX","12139509_240929_231705S10_UN128 - val_val_ref_lpips","12139509_240929_231705S10_UN128 - val_val_ref_lpips__MIN","12139509_240929_231705S10_UN128 - val_val_ref_lpips__MAX","12139511_240929_231657S30_UN128 - val_val_ref_lpips","12139511_240929_231657S30_UN128 - val_val_ref_lpips__MIN","12139511_240929_231657S30_UN128 - val_val_ref_lpips__MAX"
"80","0.5630064010620117","0.5630064010620117","0.5630064010620117","0.5545356273651123","0.5545356273651123","0.5545356273651123","0.5354832410812378","0.5354832410812378","0.5354832410812378","0.5595830082893372","0.5595830082893372","0.5595830082893372","0.5297366976737976","0.5297366976737976","0.5297366976737976","0.665879487991333","0.665879487991333","0.665879487991333","0.6421352624893188","0.6421352624893188","0.6421352624893188","0.6268723607063293","0.6268723607063293","0.6268723607063293","0.5658484101295471","0.5658484101295471","0.5658484101295471","0.566903829574585","0.566903829574585","0.566903829574585","0.5455960035324097","0.5455960035324097","0.5455960035324097","0.5001626014709473","0.5001626014709473","0.5001626014709473","0.49719661474227905","0.49719661474227905","0.49719661474227905","0.48874229192733765","0.48874229192733765","0.48874229192733765","0.5491071939468384","0.5491071939468384","0.5491071939468384","0.5728793144226074","0.5728793144226074","0.5728793144226074","0.5003587007522583","0.5003587007522583","0.5003587007522583","0.48950523138046265","0.48950523138046265","0.48950523138046265","0.6242257356643677","0.6242257356643677","0.6242257356643677","0.6476145386695862","0.6476145386695862","0.6476145386695862","0.5042923092842102","0.5042923092842102","0.5042923092842102","0.6661322116851807","0.6661322116851807","0.6661322116851807","0.5565958619117737","0.5565958619117737","0.5565958619117737","0.5758059024810791","0.5758059024810791","0.5758059024810791","0.530160129070282","0.530160129070282","0.530160129070282","0.5564606189727783","0.5564606189727783","0.5564606189727783","0.5387641787528992","0.5387641787528992","0.5387641787528992","0.5606946349143982","0.5606946349143982","0.5606946349143982"
"160","0.5606198310852051","0.5606198310852051","0.5606198310852051","0.5545437335968018","0.5545437335968018","0.5545437335968018","0.5311807990074158","0.5311807990074158","0.5311807990074158","0.5682697892189026","0.5682697892189026","0.5682697892189026","0.5286270976066589","0.5286270976066589","0.5286270976066589","0.665189802646637","0.665189802646637","0.665189802646637","0.6428669691085815","0.6428669691085815","0.6428669691085815","0.6272087693214417","0.6272087693214417","0.6272087693214417","0.5538274645805359","0.5538274645805359","0.5538274645805359","0.5535816550254822","0.5535816550254822","0.5535816550254822","0.5445334911346436","0.5445334911346436","0.5445334911346436","0.5015051960945129","0.5015051960945129","0.5015051960945129","0.4986543357372284","0.4986543357372284","0.4986543357372284","0.47989732027053833","0.47989732027053833","0.47989732027053833","0.5466375350952148","0.5466375350952148","0.5466375350952148","0.5563919544219971","0.5563919544219971","0.5563919544219971","0.5010216236114502","0.5010216236114502","0.5010216236114502","0.48271071910858154","0.48271071910858154","0.48271071910858154","0.6271870732307434","0.6271870732307434","0.6271870732307434","0.6489927172660828","0.6489927172660828","0.6489927172660828","0.5014985799789429","0.5014985799789429","0.5014985799789429","0.6686583757400513","0.6686583757400513","0.6686583757400513","0.5507588982582092","0.5507588982582092","0.5507588982582092","0.5792405605316162","0.5792405605316162","0.5792405605316162","0.5278976559638977","0.5278976559638977","0.5278976559638977","0.5512312054634094","0.5512312054634094","0.5512312054634094","0.5338526368141174","0.5338526368141174","0.5338526368141174","0.5597111582756042","0.5597111582756042","0.5597111582756042"
"240","0.5529481768608093","0.5529481768608093","0.5529481768608093","0.5460652112960815","0.5460652112960815","0.5460652112960815","0.5346639752388","0.5346639752388","0.5346639752388","0.5650762915611267","0.5650762915611267","0.5650762915611267","0.5274045467376709","0.5274045467376709","0.5274045467376709","0.6532798409461975","0.6532798409461975","0.6532798409461975","0.6493469476699829","0.6493469476699829","0.6493469476699829","0.6138433218002319","0.6138433218002319","0.6138433218002319","0.5578327775001526","0.5578327775001526","0.5578327775001526","0.558799147605896","0.558799147605896","0.558799147605896","0.5409762263298035","0.5409762263298035","0.5409762263298035","0.5046027898788452","0.5046027898788452","0.5046027898788452","0.48544982075691223","0.48544982075691223","0.48544982075691223","0.480489045381546","0.480489045381546","0.480489045381546","0.5421538352966309","0.5421538352966309","0.5421538352966309","0.5604393482208252","0.5604393482208252","0.5604393482208252","0.5067030191421509","0.5067030191421509","0.5067030191421509","0.4823252260684967","0.4823252260684967","0.4823252260684967","0.6148377656936646","0.6148377656936646","0.6148377656936646","0.6487061977386475","0.6487061977386475","0.6487061977386475","0.49008744955062866","0.49008744955062866","0.49008744955062866","0.6502112150192261","0.6502112150192261","0.6502112150192261","0.5541375875473022","0.5541375875473022","0.5541375875473022","0.564116895198822","0.564116895198822","0.564116895198822","0.5287759304046631","0.5287759304046631","0.5287759304046631","0.5461552739143372","0.5461552739143372","0.5461552739143372","0.5374643206596375","0.5374643206596375","0.5374643206596375","0.5506168603897095","0.5506168603897095","0.5506168603897095"
"320","0.5748538374900818","0.5748538374900818","0.5748538374900818","0.5536171197891235","0.5536171197891235","0.5536171197891235","0.5346566438674927","0.5346566438674927","0.5346566438674927","0.5914022326469421","0.5914022326469421","0.5914022326469421","0.5329807996749878","0.5329807996749878","0.5329807996749878","0.649158775806427","0.649158775806427","0.649158775806427","0.638905942440033","0.638905942440033","0.638905942440033","0.6189963817596436","0.6189963817596436","0.6189963817596436","0.5602821707725525","0.5602821707725525","0.5602821707725525","0.5491035580635071","0.5491035580635071","0.5491035580635071","0.5374108552932739","0.5374108552932739","0.5374108552932739","0.5060323476791382","0.5060323476791382","0.5060323476791382","0.47631600499153137","0.47631600499153137","0.47631600499153137","0.4773598909378052","0.4773598909378052","0.4773598909378052","0.5406165719032288","0.5406165719032288","0.5406165719032288","0.5571858882904053","0.5571858882904053","0.5571858882904053","0.5024638772010803","0.5024638772010803","0.5024638772010803","0.4797199070453644","0.4797199070453644","0.4797199070453644","0.619221568107605","0.619221568107605","0.619221568107605","0.6363649368286133","0.6363649368286133","0.6363649368286133","0.4825364351272583","0.4825364351272583","0.4825364351272583","0.6635163426399231","0.6635163426399231","0.6635163426399231","0.5575702786445618","0.5575702786445618","0.5575702786445618","0.5796854496002197","0.5796854496002197","0.5796854496002197","0.5326403379440308","0.5326403379440308","0.5326403379440308","0.5436679720878601","0.5436679720878601","0.5436679720878601","0.5376530885696411","0.5376530885696411","0.5376530885696411","0.5727988481521606","0.5727988481521606","0.5727988481521606"
"400","0.5737782716751099","0.5737782716751099","0.5737782716751099","0.5590835809707642","0.5590835809707642","0.5590835809707642","0.5306077003479004","0.5306077003479004","0.5306077003479004","0.5874658823013306","0.5874658823013306","0.5874658823013306","0.5354641675949097","0.5354641675949097","0.5354641675949097","0.6698525547981262","0.6698525547981262","0.6698525547981262","0.6409414410591125","0.6409414410591125","0.6409414410591125","0.6168802976608276","0.6168802976608276","0.6168802976608276","0.5636197328567505","0.5636197328567505","0.5636197328567505","0.5449437499046326","0.5449437499046326","0.5449437499046326","0.5357663035392761","0.5357663035392761","0.5357663035392761","0.5140688419342041","0.5140688419342041","0.5140688419342041","0.4839819073677063","0.4839819073677063","0.4839819073677063","0.4710460901260376","0.4710460901260376","0.4710460901260376","0.5380167365074158","0.5380167365074158","0.5380167365074158","0.5462275743484497","0.5462275743484497","0.5462275743484497","0.5170183181762695","0.5170183181762695","0.5170183181762695","0.4749164879322052","0.4749164879322052","0.4749164879322052","0.6190886497497559","0.6190886497497559","0.6190886497497559","0.637200117111206","0.637200117111206","0.637200117111206","0.4914588928222656","0.4914588928222656","0.4914588928222656","0.6699439883232117","0.6699439883232117","0.6699439883232117","0.5480767488479614","0.5480767488479614","0.5480767488479614","0.5804451107978821","0.5804451107978821","0.5804451107978821","0.5352902412414551","0.5352902412414551","0.5352902412414551","0.5552603602409363","0.5552603602409363","0.5552603602409363","0.5306108593940735","0.5306108593940735","0.5306108593940735","0.5683608055114746","0.5683608055114746","0.5683608055114746"
"480","0.5579561591148376","0.5579561591148376","0.5579561591148376","0.5527733564376831","0.5527733564376831","0.5527733564376831","0.5349262952804565","0.5349262952804565","0.5349262952804565","0.5897034406661987","0.5897034406661987","0.5897034406661987","0.5329233407974243","0.5329233407974243","0.5329233407974243","0.6487945318222046","0.6487945318222046","0.6487945318222046","0.6411958336830139","0.6411958336830139","0.6411958336830139","0.6190738677978516","0.6190738677978516","0.6190738677978516","0.5563538670539856","0.5563538670539856","0.5563538670539856","0.5521962642669678","0.5521962642669678","0.5521962642669678","0.54036945104599","0.54036945104599","0.54036945104599","0.4964649975299835","0.4964649975299835","0.4964649975299835","0.479495644569397","0.479495644569397","0.479495644569397","0.4784824550151825","0.4784824550151825","0.4784824550151825","0.541485071182251","0.541485071182251","0.541485071182251","0.550973117351532","0.550973117351532","0.550973117351532","0.5000589489936829","0.5000589489936829","0.5000589489936829","0.4824177026748657","0.4824177026748657","0.4824177026748657","0.6228537559509277","0.6228537559509277","0.6228537559509277","0.6455457210540771","0.6455457210540771","0.6455457210540771","0.482285737991333","0.482285737991333","0.482285737991333","0.6441773176193237","0.6441773176193237","0.6441773176193237","0.5586543083190918","0.5586543083190918","0.5586543083190918","0.5818960070610046","0.5818960070610046","0.5818960070610046","0.5297507643699646","0.5297507643699646","0.5297507643699646","0.5491193532943726","0.5491193532943726","0.5491193532943726","0.536374568939209","0.536374568939209","0.536374568939209","0.549638569355011","0.549638569355011","0.549638569355011"
"560","0.5725004076957703","0.5725004076957703","0.5725004076957703","0.5528706908226013","0.5528706908226013","0.5528706908226013","0.5342813730239868","0.5342813730239868","0.5342813730239868","0.5941389799118042","0.5941389799118042","0.5941389799118042","0.5397756099700928","0.5397756099700928","0.5397756099700928","0.6488128304481506","0.6488128304481506","0.6488128304481506","0.6329942941665649","0.6329942941665649","0.6329942941665649","0.6290401220321655","0.6290401220321655","0.6290401220321655","0.565809965133667","0.565809965133667","0.565809965133667","0.5487933158874512","0.5487933158874512","0.5487933158874512","0.5385516881942749","0.5385516881942749","0.5385516881942749","0.5043476819992065","0.5043476819992065","0.5043476819992065","0.48726963996887207","0.48726963996887207","0.48726963996887207","0.47827643156051636","0.47827643156051636","0.47827643156051636","0.5381499528884888","0.5381499528884888","0.5381499528884888","0.5531513094902039","0.5531513094902039","0.5531513094902039","0.49893271923065186","0.49893271923065186","0.49893271923065186","0.4793969690799713","0.4793969690799713","0.4793969690799713","0.6289224028587341","0.6289224028587341","0.6289224028587341","0.6373702883720398","0.6373702883720398","0.6373702883720398","0.4867646098136902","0.4867646098136902","0.4867646098136902","0.6464596390724182","0.6464596390724182","0.6464596390724182","0.5453366041183472","0.5453366041183472","0.5453366041183472","0.5743347406387329","0.5743347406387329","0.5743347406387329","0.5360652804374695","0.5360652804374695","0.5360652804374695","0.5476028323173523","0.5476028323173523","0.5476028323173523","0.5374465584754944","0.5374465584754944","0.5374465584754944","0.5749035477638245","0.5749035477638245","0.5749035477638245"
"640","0.5807318687438965","0.5807318687438965","0.5807318687438965","0.5554765462875366","0.5554765462875366","0.5554765462875366","0.5341917872428894","0.5341917872428894","0.5341917872428894","0.596259355545044","0.596259355545044","0.596259355545044","0.5343939065933228","0.5343939065933228","0.5343939065933228","0.6825683116912842","0.6825683116912842","0.6825683116912842","0.6411988735198975","0.6411988735198975","0.6411988735198975","0.6296723484992981","0.6296723484992981","0.6296723484992981","0.5637204051017761","0.5637204051017761","0.5637204051017761","0.5546119213104248","0.5546119213104248","0.5546119213104248","0.5400656461715698","0.5400656461715698","0.5400656461715698","0.5178052186965942","0.5178052186965942","0.5178052186965942","0.4877443015575409","0.4877443015575409","0.4877443015575409","0.4812411963939667","0.4812411963939667","0.4812411963939667","0.5427585244178772","0.5427585244178772","0.5427585244178772","0.5575545430183411","0.5575545430183411","0.5575545430183411","0.5097364783287048","0.5097364783287048","0.5097364783287048","0.4819865822792053","0.4819865822792053","0.4819865822792053","0.6306471228599548","0.6306471228599548","0.6306471228599548","0.649275541305542","0.649275541305542","0.649275541305542","0.4900466799736023","0.4900466799736023","0.4900466799736023","0.6755889654159546","0.6755889654159546","0.6755889654159546","0.55731600522995","0.55731600522995","0.55731600522995","0.5785229206085205","0.5785229206085205","0.5785229206085205","0.5346176624298096","0.5346176624298096","0.5346176624298096","0.5490838289260864","0.5490838289260864","0.5490838289260864","0.5358911752700806","0.5358911752700806","0.5358911752700806","0.5726354718208313","0.5726354718208313","0.5726354718208313"
"720","0.5703508257865906","0.5703508257865906","0.5703508257865906","0.5610606074333191","0.5610606074333191","0.5610606074333191","0.5350638628005981","0.5350638628005981","0.5350638628005981","0.6000292301177979","0.6000292301177979","0.6000292301177979","0.534487783908844","0.534487783908844","0.534487783908844","0.6538400053977966","0.6538400053977966","0.6538400053977966","0.6477921009063721","0.6477921009063721","0.6477921009063721","0.6245332360267639","0.6245332360267639","0.6245332360267639","0.5690387487411499","0.5690387487411499","0.5690387487411499","0.5545348525047302","0.5545348525047302","0.5545348525047302","0.5393948554992676","0.5393948554992676","0.5393948554992676","0.5052589178085327","0.5052589178085327","0.5052589178085327","0.4864805340766907","0.4864805340766907","0.4864805340766907","0.4814252257347107","0.4814252257347107","0.4814252257347107","0.5410208106040955","0.5410208106040955","0.5410208106040955","0.5555833578109741","0.5555833578109741","0.5555833578109741","0.5014575123786926","0.5014575123786926","0.5014575123786926","0.4814850687980652","0.4814850687980652","0.4814850687980652","0.6252721548080444","0.6252721548080444","0.6252721548080444","0.6471476554870605","0.6471476554870605","0.6471476554870605","0.4835008978843689","0.4835008978843689","0.4835008978843689","0.6466537117958069","0.6466537117958069","0.6466537117958069","0.5638299584388733","0.5638299584388733","0.5638299584388733","0.5765142440795898","0.5765142440795898","0.5765142440795898","0.531675398349762","0.531675398349762","0.531675398349762","0.5538758039474487","0.5538758039474487","0.5538758039474487","0.5387558937072754","0.5387558937072754","0.5387558937072754","0.5624433755874634","0.5624433755874634","0.5624433755874634"
"800","0.5725131034851074","0.5725131034851074","0.5725131034851074","0.564349889755249","0.564349889755249","0.564349889755249","0.5333529710769653","0.5333529710769653","0.5333529710769653","0.610099196434021","0.610099196434021","0.610099196434021","0.537874162197113","0.537874162197113","0.537874162197113","0.665138840675354","0.665138840675354","0.665138840675354","0.6433242559432983","0.6433242559432983","0.6433242559432983","0.6248487234115601","0.6248487234115601","0.6248487234115601","0.578693687915802","0.578693687915802","0.578693687915802","0.559563159942627","0.559563159942627","0.559563159942627","0.541975200176239","0.541975200176239","0.541975200176239","0.5163374543190002","0.5163374543190002","0.5163374543190002","0.4900187849998474","0.4900187849998474","0.4900187849998474","0.4724355936050415","0.4724355936050415","0.4724355936050415","0.5438755750656128","0.5438755750656128","0.5438755750656128","0.5590125322341919","0.5590125322341919","0.5590125322341919","0.5065891146659851","0.5065891146659851","0.5065891146659851","0.47479021549224854","0.47479021549224854","0.47479021549224854","0.6243156790733337","0.6243156790733337","0.6243156790733337","0.6349313259124756","0.6349313259124756","0.6349313259124756","0.4873492419719696","0.4873492419719696","0.4873492419719696","0.652455747127533","0.652455747127533","0.652455747127533","0.5665289163589478","0.5665289163589478","0.5665289163589478","0.588857889175415","0.588857889175415","0.588857889175415","0.5356617569923401","0.5356617569923401","0.5356617569923401","0.5593477487564087","0.5593477487564087","0.5593477487564087","0.5345604419708252","0.5345604419708252","0.5345604419708252","0.5681602954864502","0.5681602954864502","0.5681602954864502"
