"Step","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX"
"5000","130.35194396972656","130.35194396972656","130.35194396972656","152.5323944091797","152.5323944091797","152.5323944091797","127.7152099609375","127.7152099609375","127.7152099609375"
"10000","125.70280456542969","125.70280456542969","125.70280456542969","142.42364501953125","142.42364501953125","142.42364501953125","130.32081604003906","130.32081604003906","130.32081604003906"
"15000","144.6802520751953","144.6802520751953","144.6802520751953","137.5292205810547","137.5292205810547","137.5292205810547","125.71859741210938","125.71859741210938","125.71859741210938"
"20000","","","","137.54759216308594","137.54759216308594","137.54759216308594","125.5920639038086","125.5920639038086","125.5920639038086"
"25000","","","","138.87049865722656","138.87049865722656","138.87049865722656","127.34344482421875","127.34344482421875","127.34344482421875"
"30000","","","","138.80535888671875","138.80535888671875","138.80535888671875","129.40037536621094","129.40037536621094","129.40037536621094"
"35000","","","","139.83224487304688","139.83224487304688","139.83224487304688","126.83300018310547","126.83300018310547","126.83300018310547"
"40000","","","","148.95066833496094","148.95066833496094","148.95066833496094","126.6981430053711","126.6981430053711","126.6981430053711"
