"Step","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX"
"5000","28.937213897705078","28.937213897705078","28.937213897705078","38.21142578125","38.21142578125","38.21142578125","32.179969787597656","32.179969787597656","32.179969787597656"
"10000","24.63795280456543","24.63795280456543","24.63795280456543","33.34022903442383","33.34022903442383","33.34022903442383","30.882583618164062","30.882583618164062","30.882583618164062"
"15000","44.16639709472656","44.16639709472656","44.16639709472656","31.017770767211914","31.017770767211914","31.017770767211914","27.743627548217773","27.743627548217773","27.743627548217773"
"20000","","","","29.71998405456543","29.71998405456543","29.71998405456543","28.89891815185547","28.89891815185547","28.89891815185547"
"25000","","","","29.138051986694336","29.138051986694336","29.138051986694336","27.236597061157227","27.236597061157227","27.236597061157227"
"30000","","","","28.647756576538086","28.647756576538086","28.647756576538086","26.33351707458496","26.33351707458496","26.33351707458496"
"35000","","","","29.650840759277344","29.650840759277344","29.650840759277344","26.77824592590332","26.77824592590332","26.77824592590332"
"40000","","","","32.518821716308594","32.518821716308594","32.518821716308594","25.54768180847168","25.54768180847168","25.54768180847168"
