"Step","20241024_074556_12245176 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20241024_074556_12245176 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20241024_074556_12245176 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX"
"5000","215.65655517578125","215.65655517578125","215.65655517578125","104.28089904785156","104.28089904785156","104.28089904785156","313.7527160644531","313.7527160644531","313.7527160644531","310.4001770019531","310.4001770019531","310.4001770019531","166.57131958007812","166.57131958007812","166.57131958007812"
"10000","215.4988555908203","215.4988555908203","215.4988555908203","103.16947937011719","103.16947937011719","103.16947937011719","310.53692626953125","310.53692626953125","310.53692626953125","302.20745849609375","302.20745849609375","302.20745849609375","172.01673889160156","172.01673889160156","172.01673889160156"
"15000","210.98463439941406","210.98463439941406","210.98463439941406","107.2166519165039","107.2166519165039","107.2166519165039","314.8891296386719","314.8891296386719","314.8891296386719","304.72601318359375","304.72601318359375","304.72601318359375","167.04483032226562","167.04483032226562","167.04483032226562"
"20000","230.97027587890625","230.97027587890625","230.97027587890625","104.5412368774414","104.5412368774414","104.5412368774414","310.2652587890625","310.2652587890625","310.2652587890625","299.12603759765625","299.12603759765625","299.12603759765625","169.45596313476562","169.45596313476562","169.45596313476562"
"25000","234.747802734375","234.747802734375","234.747802734375","103.46595001220703","103.46595001220703","103.46595001220703","307.408935546875","307.408935546875","307.408935546875","301.4142150878906","301.4142150878906","301.4142150878906","171.41244506835938","171.41244506835938","171.41244506835938"
"30000","232.26564025878906","232.26564025878906","232.26564025878906","104.05644989013672","104.05644989013672","104.05644989013672","308.63421630859375","308.63421630859375","308.63421630859375","298.916259765625","298.916259765625","298.916259765625","170.869873046875","170.869873046875","170.869873046875"
"35000","233.8251495361328","233.8251495361328","233.8251495361328","101.87191772460938","101.87191772460938","101.87191772460938","302.28875732421875","302.28875732421875","302.28875732421875","300.56982421875","300.56982421875","300.56982421875","170.3612823486328","170.3612823486328","170.3612823486328"
"40000","232.47372436523438","232.47372436523438","232.47372436523438","102.77458190917969","102.77458190917969","102.77458190917969","340.8385314941406","340.8385314941406","340.8385314941406","297.85601806640625","297.85601806640625","297.85601806640625","168.96310424804688","168.96310424804688","168.96310424804688"
