"Step","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX"
"5000","307.5665588378906","307.5665588378906","307.5665588378906","317.49017333984375","317.49017333984375","317.49017333984375","207.979736328125","207.979736328125","207.979736328125","118.64350128173828","118.64350128173828","118.64350128173828","211.58677673339844","211.58677673339844","211.58677673339844"
"10000","307.0558166503906","307.0558166503906","307.0558166503906","299.0099792480469","299.0099792480469","299.0099792480469","195.92385864257812","195.92385864257812","195.92385864257812","107.45722198486328","107.45722198486328","107.45722198486328","180.72360229492188","180.72360229492188","180.72360229492188"
"15000","301.4501037597656","301.4501037597656","301.4501037597656","293.0772705078125","293.0772705078125","293.0772705078125","204.49839782714844","204.49839782714844","204.49839782714844","108.692138671875","108.692138671875","108.692138671875","169.00987243652344","169.00987243652344","169.00987243652344"
"20000","308.0075988769531","308.0075988769531","308.0075988769531","295.4569091796875","295.4569091796875","295.4569091796875","209.74729919433594","209.74729919433594","209.74729919433594","102.8218994140625","102.8218994140625","102.8218994140625","172.0466766357422","172.0466766357422","172.0466766357422"
"25000","298.6615905761719","298.6615905761719","298.6615905761719","295.9184875488281","295.9184875488281","295.9184875488281","202.57302856445312","202.57302856445312","202.57302856445312","102.49234008789062","102.49234008789062","102.49234008789062","170.1432342529297","170.1432342529297","170.1432342529297"
"30000","305.3746337890625","305.3746337890625","305.3746337890625","295.2052917480469","295.2052917480469","295.2052917480469","204.9790496826172","204.9790496826172","204.9790496826172","103.29964447021484","103.29964447021484","103.29964447021484","172.77261352539062","172.77261352539062","172.77261352539062"
"35000","307.8441162109375","307.8441162109375","307.8441162109375","297.9117431640625","297.9117431640625","297.9117431640625","208.21987915039062","208.21987915039062","208.21987915039062","101.17213439941406","101.17213439941406","101.17213439941406","170.4011993408203","170.4011993408203","170.4011993408203"
"40000","304.5659484863281","304.5659484863281","304.5659484863281","293.5037841796875","293.5037841796875","293.5037841796875","209.97520446777344","209.97520446777344","209.97520446777344","102.99449920654297","102.99449920654297","102.99449920654297","171.18765258789062","171.18765258789062","171.18765258789062"
