"Step","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/ssim","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/ssim__MIN","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/ssim__MAX","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/ssim","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/ssim__MIN","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/ssim__MAX","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/ssim","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/ssim__MIN","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/ssim__MAX","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/ssim","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/ssim__MIN","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/ssim__MAX","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/ssim","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/ssim__MIN","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/ssim__MAX","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/ssim","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/ssim__MIN","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/ssim__MAX","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/ssim","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/ssim__MIN","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/ssim__MAX","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/ssim","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/ssim__MIN","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/ssim__MAX","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/ssim","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/ssim__MIN","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/ssim__MAX","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/ssim","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/ssim__MIN","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/ssim__MAX","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/ssim","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/ssim__MIN","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/ssim__MAX","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/ssim","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/ssim__MIN","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/ssim__MAX"
"5000","0.847271740436554","0.847271740436554","0.847271740436554","0.7460212707519531","0.7460212707519531","0.7460212707519531","0.7532489895820618","0.7532489895820618","0.7532489895820618","0.7934393286705017","0.7934393286705017","0.7934393286705017","0.8479998707771301","0.8479998707771301","0.8479998707771301","0.7937703728675842","0.7937703728675842","0.7937703728675842","0.8452995419502258","0.8452995419502258","0.8452995419502258","0.7457970380783081","0.7457970380783081","0.7457970380783081","0.7854006886482239","0.7854006886482239","0.7854006886482239","0.8328097462654114","0.8328097462654114","0.8328097462654114","0.7522658109664917","0.7522658109664917","0.7522658109664917","0.7897897362709045","0.7897897362709045","0.7897897362709045"
"10000","0.8502782583236694","0.8502782583236694","0.8502782583236694","0.7592602968215942","0.7592602968215942","0.7592602968215942","0.7573810815811157","0.7573810815811157","0.7573810815811157","0.8001455068588257","0.8001455068588257","0.8001455068588257","0.8511597514152527","0.8511597514152527","0.8511597514152527","0.7993532419204712","0.7993532419204712","0.7993532419204712","0.7427952289581299","0.7427952289581299","0.7427952289581299","0.7582482099533081","0.7582482099533081","0.7582482099533081","0.7960430383682251","0.7960430383682251","0.7960430383682251","0.7327154278755188","0.7327154278755188","0.7327154278755188","0.7591968774795532","0.7591968774795532","0.7591968774795532","0.7949501276016235","0.7949501276016235","0.7949501276016235"
"15000","0.8576911091804504","0.8576911091804504","0.8576911091804504","0.7614023685455322","0.7614023685455322","0.7614023685455322","0.7614587545394897","0.7614587545394897","0.7614587545394897","0.8063963055610657","0.8063963055610657","0.8063963055610657","0.857989490032196","0.857989490032196","0.857989490032196","0.8046104311943054","0.8046104311943054","0.8046104311943054","0.5913304090499878","0.5913304090499878","0.5913304090499878","0.7632070779800415","0.7632070779800415","0.7632070779800415","0.8021542429924011","0.8021542429924011","0.8021542429924011","","","","0.7636495232582092","0.7636495232582092","0.7636495232582092","0.8060458898544312","0.8060458898544312","0.8060458898544312"
"20000","0.8531263470649719","0.8531263470649719","0.8531263470649719","0.7674094438552856","0.7674094438552856","0.7674094438552856","0.7659502625465393","0.7659502625465393","0.7659502625465393","0.8062340021133423","0.8062340021133423","0.8062340021133423","0.847430408000946","0.847430408000946","0.847430408000946","0.808670163154602","0.808670163154602","0.808670163154602","0.5736457705497742","0.5736457705497742","0.5736457705497742","0.7669919729232788","0.7669919729232788","0.7669919729232788","0.8086051940917969","0.8086051940917969","0.8086051940917969","","","","0.7655450105667114","0.7655450105667114","0.7655450105667114","0.8075238466262817","0.8075238466262817","0.8075238466262817"
"25000","0.7006681561470032","0.7006681561470032","0.7006681561470032","0.7681111097335815","0.7681111097335815","0.7681111097335815","0.7675654888153076","0.7675654888153076","0.7675654888153076","0.8075218200683594","0.8075218200683594","0.8075218200683594","0.8224337697029114","0.8224337697029114","0.8224337697029114","0.8097962141036987","0.8097962141036987","0.8097962141036987","0.5029635429382324","0.5029635429382324","0.5029635429382324","0.7669799327850342","0.7669799327850342","0.7669799327850342","0.8094350099563599","0.8094350099563599","0.8094350099563599","","","","0.768439769744873","0.768439769744873","0.768439769744873","0.8080496788024902","0.8080496788024902","0.8080496788024902"
"30000","0.7006337642669678","0.7006337642669678","0.7006337642669678","0.768201470375061","0.768201470375061","0.768201470375061","0.6260735988616943","0.6260735988616943","0.6260735988616943","0.8097082376480103","0.8097082376480103","0.8097082376480103","","","","0.811276912689209","0.811276912689209","0.811276912689209","0.5496005415916443","0.5496005415916443","0.5496005415916443","0.7677320241928101","0.7677320241928101","0.7677320241928101","0.8095647692680359","0.8095647692680359","0.8095647692680359","","","","0.7686111927032471","0.7686111927032471","0.7686111927032471","0.8081765174865723","0.8081765174865723","0.8081765174865723"
"35000","0.6987197399139404","0.6987197399139404","0.6987197399139404","0.7699859738349915","0.7699859738349915","0.7699859738349915","","","","0.8009463548660278","0.8009463548660278","0.8009463548660278","","","","0.8109899759292603","0.8109899759292603","0.8109899759292603","","","","0.7697186470031738","0.7697186470031738","0.7697186470031738","0.8067013621330261","0.8067013621330261","0.8067013621330261","","","","0.77116858959198","0.77116858959198","0.77116858959198","0.8093446493148804","0.8093446493148804","0.8093446493148804"
"40000","","","","0.7706204652786255","0.7706204652786255","0.7706204652786255","","","","0.8052816390991211","0.8052816390991211","0.8052816390991211","","","","0.8075827360153198","0.8075827360153198","0.8075827360153198","","","","0.7693591713905334","0.7693591713905334","0.7693591713905334","0.6747301816940308","0.6747301816940308","0.6747301816940308","","","","0.7703762054443359","0.7703762054443359","0.7703762054443359","0.8096061944961548","0.8096061944961548","0.8096061944961548"
