"Step","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX"
"5000","154.59410095214844","154.59410095214844","154.59410095214844","187.24501037597656","187.24501037597656","187.24501037597656","127.04329681396484","127.04329681396484","127.04329681396484","88.28681182861328","88.28681182861328","88.28681182861328","178.9845733642578","178.9845733642578","178.9845733642578"
"10000","135.26165771484375","135.26165771484375","135.26165771484375","183.6967315673828","183.6967315673828","183.6967315673828","120.07723999023438","120.07723999023438","120.07723999023438","85.79673767089844","85.79673767089844","85.79673767089844","147.2051544189453","147.2051544189453","147.2051544189453"
"15000","128.92950439453125","128.92950439453125","128.92950439453125","174.3922119140625","174.3922119140625","174.3922119140625","122.00370788574219","122.00370788574219","122.00370788574219","81.39122009277344","81.39122009277344","81.39122009277344","145.9070587158203","145.9070587158203","145.9070587158203"
"20000","133.5292205810547","133.5292205810547","133.5292205810547","166.9486083984375","166.9486083984375","166.9486083984375","127.75171661376953","127.75171661376953","127.75171661376953","85.56771087646484","85.56771087646484","85.56771087646484","140.2490234375","140.2490234375","140.2490234375"
"25000","130.08555603027344","130.08555603027344","130.08555603027344","165.5627899169922","165.5627899169922","165.5627899169922","122.53653717041016","122.53653717041016","122.53653717041016","82.50785827636719","82.50785827636719","82.50785827636719","140.30702209472656","140.30702209472656","140.30702209472656"
"30000","134.91156005859375","134.91156005859375","134.91156005859375","154.2809295654297","154.2809295654297","154.2809295654297","121.60210418701172","121.60210418701172","121.60210418701172","82.84576416015625","82.84576416015625","82.84576416015625","145.03697204589844","145.03697204589844","145.03697204589844"
"35000","132.65374755859375","132.65374755859375","132.65374755859375","157.5044708251953","157.5044708251953","157.5044708251953","127.48182678222656","127.48182678222656","127.48182678222656","86.84862518310547","86.84862518310547","86.84862518310547","143.73719787597656","143.73719787597656","143.73719787597656"
"40000","130.720947265625","130.720947265625","130.720947265625","155.47113037109375","155.47113037109375","155.47113037109375","121.97113800048828","121.97113800048828","121.97113800048828","85.13002014160156","85.13002014160156","85.13002014160156","144.23114013671875","144.23114013671875","144.23114013671875"
