"Step","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/lane_shift_8_fid","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MIN","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/lane_shift_8_fid__MAX"
"5000","218.90892028808594","218.90892028808594","218.90892028808594","176.69598388671875","176.69598388671875","176.69598388671875","314.5167236328125","314.5167236328125","314.5167236328125"
"10000","217.75955200195312","217.75955200195312","217.75955200195312","173.6184844970703","173.6184844970703","173.6184844970703","310.54107666015625","310.54107666015625","310.54107666015625"
"15000","232.6027374267578","232.6027374267578","232.6027374267578","165.0059051513672","165.0059051513672","165.0059051513672","306.4798278808594","306.4798278808594","306.4798278808594"
"20000","","","","166.3827362060547","166.3827362060547","166.3827362060547","308.5711364746094","308.5711364746094","308.5711364746094"
"25000","","","","167.5362091064453","167.5362091064453","167.5362091064453","306.9982604980469","306.9982604980469","306.9982604980469"
"30000","","","","169.94735717773438","169.94735717773438","169.94735717773438","307.930908203125","307.930908203125","307.930908203125"
"35000","","","","169.83822631835938","169.83822631835938","169.83822631835938","309.0325622558594","309.0325622558594","309.0325622558594"
"40000","","","","181.50990295410156","181.50990295410156","181.50990295410156","316.8493347167969","316.8493347167969","316.8493347167969"
