"Step","12139481_240930_010246S30_UN128_CN128 - val_ssim","12139481_240930_010246S30_UN128_CN128 - val_ssim__MIN","12139481_240930_010246S30_UN128_CN128 - val_ssim__MAX","12139557_240930_010100S20_UN128_CN128 - val_ssim","12139557_240930_010100S20_UN128_CN128 - val_ssim__MIN","12139557_240930_010100S20_UN128_CN128 - val_ssim__MAX","12139552_240930_004322S10_UN128_CN128 - val_ssim","12139552_240930_004322S10_UN128_CN128 - val_ssim__MIN","12139552_240930_004322S10_UN128_CN128 - val_ssim__MAX","12139539_240930_001813S30_UN128_CN128 - val_ssim","12139539_240930_001813S30_UN128_CN128 - val_ssim__MIN","12139539_240930_001813S30_UN128_CN128 - val_ssim__MAX","12139537_240930_001549S10_UN128_CN128 - val_ssim","12139537_240930_001549S10_UN128_CN128 - val_ssim__MIN","12139537_240930_001549S10_UN128_CN128 - val_ssim__MAX","12139531_240929_235839S30_UN128_CN128 - val_ssim","12139531_240929_235839S30_UN128_CN128 - val_ssim__MIN","12139531_240929_235839S30_UN128_CN128 - val_ssim__MAX","12139530_240929_235839S20_UN128_CN128 - val_ssim","12139530_240929_235839S20_UN128_CN128 - val_ssim__MIN","12139530_240929_235839S20_UN128_CN128 - val_ssim__MAX","12139529_240929_235239S10_UN128_CN128 - val_ssim","12139529_240929_235239S10_UN128_CN128 - val_ssim__MIN","12139529_240929_235239S10_UN128_CN128 - val_ssim__MAX","12139523_240929_232850S30_UN128_CN128 - val_ssim","12139523_240929_232850S30_UN128_CN128 - val_ssim__MIN","12139523_240929_232850S30_UN128_CN128 - val_ssim__MAX","12139522_240929_232403S20_UN128_CN128 - val_ssim","12139522_240929_232403S20_UN128_CN128 - val_ssim__MIN","12139522_240929_232403S20_UN128_CN128 - val_ssim__MAX","12139521_240929_232338S10_UN128_CN128 - val_ssim","12139521_240929_232338S10_UN128_CN128 - val_ssim__MIN","12139521_240929_232338S10_UN128_CN128 - val_ssim__MAX","12139517_240929_232222S30_UN128_CN128 - val_ssim","12139517_240929_232222S30_UN128_CN128 - val_ssim__MIN","12139517_240929_232222S30_UN128_CN128 - val_ssim__MAX","12139516_240929_232149S20_UN128_CN128 - val_ssim","12139516_240929_232149S20_UN128_CN128 - val_ssim__MIN","12139516_240929_232149S20_UN128_CN128 - val_ssim__MAX","12139515_240929_232133S10_UN128_CN128 - val_ssim","12139515_240929_232133S10_UN128_CN128 - val_ssim__MIN","12139515_240929_232133S10_UN128_CN128 - val_ssim__MAX","12139491_240929_231730S10_UN128 - val_ssim","12139491_240929_231730S10_UN128 - val_ssim__MIN","12139491_240929_231730S10_UN128 - val_ssim__MAX","12139492_240929_231730S20_UN128 - val_ssim","12139492_240929_231730S20_UN128 - val_ssim__MIN","12139492_240929_231730S20_UN128 - val_ssim__MAX","12139487_240929_231736S30_UN128 - val_ssim","12139487_240929_231736S30_UN128 - val_ssim__MIN","12139487_240929_231736S30_UN128 - val_ssim__MAX","12139485_240929_231732S10_UN128 - val_ssim","12139485_240929_231732S10_UN128 - val_ssim__MIN","12139485_240929_231732S10_UN128 - val_ssim__MAX","12139497_240929_231734S10_UN128 - val_ssim","12139497_240929_231734S10_UN128 - val_ssim__MIN","12139497_240929_231734S10_UN128 - val_ssim__MAX","12139498_240929_231734S20_UN128 - val_ssim","12139498_240929_231734S20_UN128 - val_ssim__MIN","12139498_240929_231734S20_UN128 - val_ssim__MAX","12139486_240929_231732S20_UN128 - val_ssim","12139486_240929_231732S20_UN128 - val_ssim__MIN","12139486_240929_231732S20_UN128 - val_ssim__MAX","12139499_240929_231732S30_UN128 - val_ssim","12139499_240929_231732S30_UN128 - val_ssim__MIN","12139499_240929_231732S30_UN128 - val_ssim__MAX","12139504_240929_231707S20_UN128 - val_ssim","12139504_240929_231707S20_UN128 - val_ssim__MIN","12139504_240929_231707S20_UN128 - val_ssim__MAX","12139505_240929_231707S30_UN128 - val_ssim","12139505_240929_231707S30_UN128 - val_ssim__MIN","12139505_240929_231707S30_UN128 - val_ssim__MAX","12139503_240929_231707S10_UN128 - val_ssim","12139503_240929_231707S10_UN128 - val_ssim__MIN","12139503_240929_231707S10_UN128 - val_ssim__MAX","12139510_240929_231705S20_UN128 - val_ssim","12139510_240929_231705S20_UN128 - val_ssim__MIN","12139510_240929_231705S20_UN128 - val_ssim__MAX","12139509_240929_231705S10_UN128 - val_ssim","12139509_240929_231705S10_UN128 - val_ssim__MIN","12139509_240929_231705S10_UN128 - val_ssim__MAX","12139511_240929_231657S30_UN128 - val_ssim","12139511_240929_231657S30_UN128 - val_ssim__MIN","12139511_240929_231657S30_UN128 - val_ssim__MAX"
"80","0.6203342080116272","0.6203342080116272","0.6203342080116272","0.6613386273384094","0.6613386273384094","0.6613386273384094","0.7213823795318604","0.7213823795318604","0.7213823795318604","0.5760777592658997","0.5760777592658997","0.5760777592658997","0.6745344996452332","0.6745344996452332","0.6745344996452332","0.7284427881240845","0.7284427881240845","0.7284427881240845","0.7695086002349854","0.7695086002349854","0.7695086002349854","0.8239568471908569","0.8239568471908569","0.8239568471908569","0.6377864480018616","0.6377864480018616","0.6377864480018616","0.6806597709655762","0.6806597709655762","0.6806597709655762","0.7410053014755249","0.7410053014755249","0.7410053014755249","0.5897668600082397","0.5897668600082397","0.5897668600082397","0.6323499083518982","0.6323499083518982","0.6323499083518982","0.6948688626289368","0.6948688626289368","0.6948688626289368","0.7403085827827454","0.7403085827827454","0.7403085827827454","0.677404522895813","0.677404522895813","0.677404522895813","0.5868256092071533","0.5868256092071533","0.5868256092071533","0.6945592761039734","0.6945592761039734","0.6945592761039734","0.8223279118537903","0.8223279118537903","0.8223279118537903","0.7659215331077576","0.7659215331077576","0.7659215331077576","0.6306368708610535","0.6306368708610535","0.6306368708610535","0.7251864671707153","0.7251864671707153","0.7251864671707153","0.6131428480148315","0.6131428480148315","0.6131428480148315","0.5752993822097778","0.5752993822097778","0.5752993822097778","0.6736546754837036","0.6736546754837036","0.6736546754837036","0.6600386500358582","0.6600386500358582","0.6600386500358582","0.720841646194458","0.720841646194458","0.720841646194458","0.6170235872268677","0.6170235872268677","0.6170235872268677"
"160","0.6288430094718933","0.6288430094718933","0.6288430094718933","0.6687933206558228","0.6687933206558228","0.6687933206558228","0.7243776917457581","0.7243776917457581","0.7243776917457581","0.5838950872421265","0.5838950872421265","0.5838950872421265","0.6775451898574829","0.6775451898574829","0.6775451898574829","0.7335115671157837","0.7335115671157837","0.7335115671157837","0.7796012163162231","0.7796012163162231","0.7796012163162231","0.8285280466079712","0.8285280466079712","0.8285280466079712","0.6498327851295471","0.6498327851295471","0.6498327851295471","0.6929461359977722","0.6929461359977722","0.6929461359977722","0.7493849396705627","0.7493849396705627","0.7493849396705627","0.5978380441665649","0.5978380441665649","0.5978380441665649","0.639604389667511","0.639604389667511","0.639604389667511","0.7004996538162231","0.7004996538162231","0.7004996538162231","0.7463546991348267","0.7463546991348267","0.7463546991348267","0.6881083250045776","0.6881083250045776","0.6881083250045776","0.5908529162406921","0.5908529162406921","0.5908529162406921","0.6983758211135864","0.6983758211135864","0.6983758211135864","0.825976550579071","0.825976550579071","0.825976550579071","0.7743790745735168","0.7743790745735168","0.7743790745735168","0.6355021595954895","0.6355021595954895","0.6355021595954895","0.7287965416908264","0.7287965416908264","0.7287965416908264","0.6205370426177979","0.6205370426177979","0.6205370426177979","0.5829339623451233","0.5829339623451233","0.5829339623451233","0.6752815842628479","0.6752815842628479","0.6752815842628479","0.6655236482620239","0.6655236482620239","0.6655236482620239","0.7226794958114624","0.7226794958114624","0.7226794958114624","0.6248781085014343","0.6248781085014343","0.6248781085014343"
"240","0.6348668932914734","0.6348668932914734","0.6348668932914734","0.6753960847854614","0.6753960847854614","0.6753960847854614","0.727514922618866","0.727514922618866","0.727514922618866","0.5895465612411499","0.5895465612411499","0.5895465612411499","0.6807042956352234","0.6807042956352234","0.6807042956352234","0.7451626062393188","0.7451626062393188","0.7451626062393188","0.7830404043197632","0.7830404043197632","0.7830404043197632","0.829670786857605","0.829670786857605","0.829670786857605","0.6583639979362488","0.6583639979362488","0.6583639979362488","0.6996936798095703","0.6996936798095703","0.6996936798095703","0.7494828104972839","0.7494828104972839","0.7494828104972839","0.604302167892456","0.604302167892456","0.604302167892456","0.6438807249069214","0.6438807249069214","0.6438807249069214","0.7014047503471375","0.7014047503471375","0.7014047503471375","0.7483140826225281","0.7483140826225281","0.7483140826225281","0.693602442741394","0.693602442741394","0.693602442741394","0.5991217494010925","0.5991217494010925","0.5991217494010925","0.6988487243652344","0.6988487243652344","0.6988487243652344","0.826367199420929","0.826367199420929","0.826367199420929","0.7774472236633301","0.7774472236633301","0.7774472236633301","0.6399311423301697","0.6399311423301697","0.6399311423301697","0.7398172616958618","0.7398172616958618","0.7398172616958618","0.6205679774284363","0.6205679774284363","0.6205679774284363","0.5854632258415222","0.5854632258415222","0.5854632258415222","0.6770690679550171","0.6770690679550171","0.6770690679550171","0.6704734563827515","0.6704734563827515","0.6704734563827515","0.7252975106239319","0.7252975106239319","0.7252975106239319","0.6279245018959045","0.6279245018959045","0.6279245018959045"
"320","0.6387441754341125","0.6387441754341125","0.6387441754341125","0.6787108182907104","0.6787108182907104","0.6787108182907104","0.728699266910553","0.728699266910553","0.728699266910553","0.5931312441825867","0.5931312441825867","0.5931312441825867","0.6808045506477356","0.6808045506477356","0.6808045506477356","0.7499843835830688","0.7499843835830688","0.7499843835830688","0.788094162940979","0.788094162940979","0.788094162940979","0.8325842022895813","0.8325842022895813","0.8325842022895813","0.6644427180290222","0.6644427180290222","0.6644427180290222","0.7043298482894897","0.7043298482894897","0.7043298482894897","0.7548324465751648","0.7548324465751648","0.7548324465751648","0.6091147065162659","0.6091147065162659","0.6091147065162659","0.6480611562728882","0.6480611562728882","0.6480611562728882","0.7045381665229797","0.7045381665229797","0.7045381665229797","0.7519850730895996","0.7519850730895996","0.7519850730895996","0.6970270276069641","0.6970270276069641","0.6970270276069641","0.6017396450042725","0.6017396450042725","0.6017396450042725","0.7017640471458435","0.7017640471458435","0.7017640471458435","0.8283446431159973","0.8283446431159973","0.8283446431159973","0.7802805304527283","0.7802805304527283","0.7802805304527283","0.6445523500442505","0.6445523500442505","0.6445523500442505","0.7431022524833679","0.7431022524833679","0.7431022524833679","0.6241163015365601","0.6241163015365601","0.6241163015365601","0.586330235004425","0.586330235004425","0.586330235004425","0.6771239638328552","0.6771239638328552","0.6771239638328552","0.6735033988952637","0.6735033988952637","0.6735033988952637","0.725166916847229","0.725166916847229","0.725166916847229","0.6314616203308105","0.6314616203308105","0.6314616203308105"
"400","0.6463251113891602","0.6463251113891602","0.6463251113891602","0.6819644570350647","0.6819644570350647","0.6819644570350647","0.7295508980751038","0.7295508980751038","0.7295508980751038","0.6001145243644714","0.6001145243644714","0.6001145243644714","0.6841751933097839","0.6841751933097839","0.6841751933097839","0.7576800584793091","0.7576800584793091","0.7576800584793091","0.791873574256897","0.791873574256897","0.791873574256897","0.8332990407943726","0.8332990407943726","0.8332990407943726","0.669319212436676","0.669319212436676","0.669319212436676","0.7092253565788269","0.7092253565788269","0.7092253565788269","0.7541406154632568","0.7541406154632568","0.7541406154632568","0.6151512861251831","0.6151512861251831","0.6151512861251831","0.651775062084198","0.651775062084198","0.651775062084198","0.7074487805366516","0.7074487805366516","0.7074487805366516","0.753063440322876","0.753063440322876","0.753063440322876","0.7019002437591553","0.7019002437591553","0.7019002437591553","0.6084705591201782","0.6084705591201782","0.6084705591201782","0.7031474113464355","0.7031474113464355","0.7031474113464355","0.8289031982421875","0.8289031982421875","0.8289031982421875","0.7832527756690979","0.7832527756690979","0.7832527756690979","0.6461116075515747","0.6461116075515747","0.6461116075515747","0.749012291431427","0.749012291431427","0.749012291431427","0.6273091435432434","0.6273091435432434","0.6273091435432434","0.5918745398521423","0.5918745398521423","0.5918745398521423","0.6797268390655518","0.6797268390655518","0.6797268390655518","0.6748738884925842","0.6748738884925842","0.6748738884925842","0.728373646736145","0.728373646736145","0.728373646736145","0.6376506090164185","0.6376506090164185","0.6376506090164185"
"480","0.65061354637146","0.65061354637146","0.65061354637146","0.6843523383140564","0.6843523383140564","0.6843523383140564","0.7336689233779907","0.7336689233779907","0.7336689233779907","0.6013018488883972","0.6013018488883972","0.6013018488883972","0.6859629154205322","0.6859629154205322","0.6859629154205322","0.7624775171279907","0.7624775171279907","0.7624775171279907","0.7957742810249329","0.7957742810249329","0.7957742810249329","0.8370822668075562","0.8370822668075562","0.8370822668075562","0.6751646399497986","0.6751646399497986","0.6751646399497986","0.7113284468650818","0.7113284468650818","0.7113284468650818","0.7559530138969421","0.7559530138969421","0.7559530138969421","0.616772472858429","0.616772472858429","0.616772472858429","0.6555815935134888","0.6555815935134888","0.6555815935134888","0.7094837427139282","0.7094837427139282","0.7094837427139282","0.7545757293701172","0.7545757293701172","0.7545757293701172","0.7049663066864014","0.7049663066864014","0.7049663066864014","0.6091216802597046","0.6091216802597046","0.6091216802597046","0.7043696045875549","0.7043696045875549","0.7043696045875549","0.8314002156257629","0.8314002156257629","0.8314002156257629","0.788546085357666","0.788546085357666","0.788546085357666","0.6497199535369873","0.6497199535369873","0.6497199535369873","0.753587543964386","0.753587543964386","0.753587543964386","0.6307400465011597","0.6307400465011597","0.6307400465011597","0.5925602912902832","0.5925602912902832","0.5925602912902832","0.6813810467720032","0.6813810467720032","0.6813810467720032","0.6774471998214722","0.6774471998214722","0.6774471998214722","0.7300599813461304","0.7300599813461304","0.7300599813461304","0.639499306678772","0.639499306678772","0.639499306678772"
"560","0.655068039894104","0.655068039894104","0.655068039894104","0.6895792484283447","0.6895792484283447","0.6895792484283447","0.7344300150871277","0.7344300150871277","0.7344300150871277","0.6067575812339783","0.6067575812339783","0.6067575812339783","0.688475489616394","0.688475489616394","0.688475489616394","0.7679443359375","0.7679443359375","0.7679443359375","0.7994116544723511","0.7994116544723511","0.7994116544723511","0.8377763628959656","0.8377763628959656","0.8377763628959656","0.6807113885879517","0.6807113885879517","0.6807113885879517","0.715611457824707","0.715611457824707","0.715611457824707","0.7575603723526001","0.7575603723526001","0.7575603723526001","0.6212743520736694","0.6212743520736694","0.6212743520736694","0.6597436666488647","0.6597436666488647","0.6597436666488647","0.7096706628799438","0.7096706628799438","0.7096706628799438","0.7552220821380615","0.7552220821380615","0.7552220821380615","0.7075938582420349","0.7075938582420349","0.7075938582420349","0.6165797710418701","0.6165797710418701","0.6165797710418701","0.7050032615661621","0.7050032615661621","0.7050032615661621","0.8324145078659058","0.8324145078659058","0.8324145078659058","0.7897670865058899","0.7897670865058899","0.7897670865058899","0.652924656867981","0.652924656867981","0.652924656867981","0.7584313154220581","0.7584313154220581","0.7584313154220581","0.63335120677948","0.63335120677948","0.63335120677948","0.5957193374633789","0.5957193374633789","0.5957193374633789","0.6832242012023926","0.6832242012023926","0.6832242012023926","0.6797043681144714","0.6797043681144714","0.6797043681144714","0.7307217121124268","0.7307217121124268","0.7307217121124268","0.6431188583374023","0.6431188583374023","0.6431188583374023"
"640","0.6585853695869446","0.6585853695869446","0.6585853695869446","0.694126546382904","0.694126546382904","0.694126546382904","0.7362504005432129","0.7362504005432129","0.7362504005432129","0.6090617775917053","0.6090617775917053","0.6090617775917053","0.6906858682632446","0.6906858682632446","0.6906858682632446","0.7686052322387695","0.7686052322387695","0.7686052322387695","0.8038741946220398","0.8038741946220398","0.8038741946220398","0.838119626045227","0.838119626045227","0.838119626045227","0.680709958076477","0.680709958076477","0.680709958076477","0.719174325466156","0.719174325466156","0.719174325466156","0.7610796689987183","0.7610796689987183","0.7610796689987183","0.6246583461761475","0.6246583461761475","0.6246583461761475","0.659769594669342","0.659769594669342","0.659769594669342","0.7121469378471375","0.7121469378471375","0.7121469378471375","0.7588030099868774","0.7588030099868774","0.7588030099868774","0.7111967206001282","0.7111967206001282","0.7111967206001282","0.6182947158813477","0.6182947158813477","0.6182947158813477","0.7063671350479126","0.7063671350479126","0.7063671350479126","0.8325875401496887","0.8325875401496887","0.8325875401496887","0.7863149642944336","0.7863149642944336","0.7863149642944336","0.6536904573440552","0.6536904573440552","0.6536904573440552","0.7597202062606812","0.7597202062606812","0.7597202062606812","0.6343890428543091","0.6343890428543091","0.6343890428543091","0.5975319743156433","0.5975319743156433","0.5975319743156433","0.6846488118171692","0.6846488118171692","0.6846488118171692","0.6850482225418091","0.6850482225418091","0.6850482225418091","0.7329432964324951","0.7329432964324951","0.7329432964324951","0.6470362544059753","0.6470362544059753","0.6470362544059753"
"720","0.660499632358551","0.660499632358551","0.660499632358551","0.6935622692108154","0.6935622692108154","0.6935622692108154","0.7377105951309204","0.7377105951309204","0.7377105951309204","0.6107474565505981","0.6107474565505981","0.6107474565505981","0.6925791501998901","0.6925791501998901","0.6925791501998901","0.7718564867973328","0.7718564867973328","0.7718564867973328","0.8027762174606323","0.8027762174606323","0.8027762174606323","0.839934229850769","0.839934229850769","0.839934229850769","0.685552716255188","0.685552716255188","0.685552716255188","0.7213672995567322","0.7213672995567322","0.7213672995567322","0.7630693912506104","0.7630693912506104","0.7630693912506104","0.6256745457649231","0.6256745457649231","0.6256745457649231","0.6610031127929688","0.6610031127929688","0.6610031127929688","0.7132295370101929","0.7132295370101929","0.7132295370101929","0.760217547416687","0.760217547416687","0.760217547416687","0.7144286036491394","0.7144286036491394","0.7144286036491394","0.6179667711257935","0.6179667711257935","0.6179667711257935","0.7086146473884583","0.7086146473884583","0.7086146473884583","0.8341064453125","0.8341064453125","0.8341064453125","0.792256236076355","0.792256236076355","0.792256236076355","0.6563693881034851","0.6563693881034851","0.6563693881034851","0.7625284790992737","0.7625284790992737","0.7625284790992737","0.638489842414856","0.638489842414856","0.638489842414856","0.6012122631072998","0.6012122631072998","0.6012122631072998","0.6854441165924072","0.6854441165924072","0.6854441165924072","0.6863127946853638","0.6863127946853638","0.6863127946853638","0.7336268424987793","0.7336268424987793","0.7336268424987793","0.6495238542556763","0.6495238542556763","0.6495238542556763"
"800","0.6663244962692261","0.6663244962692261","0.6663244962692261","0.6971310377120972","0.6971310377120972","0.6971310377120972","0.7388563752174377","0.7388563752174377","0.7388563752174377","0.6158705353736877","0.6158705353736877","0.6158705353736877","0.6950207948684692","0.6950207948684692","0.6950207948684692","0.7736403942108154","0.7736403942108154","0.7736403942108154","0.8066204190254211","0.8066204190254211","0.8066204190254211","0.8431720733642578","0.8431720733642578","0.8431720733642578","0.688819408416748","0.688819408416748","0.688819408416748","0.7230824828147888","0.7230824828147888","0.7230824828147888","0.7650213241577148","0.7650213241577148","0.7650213241577148","0.6299757361412048","0.6299757361412048","0.6299757361412048","0.6654611825942993","0.6654611825942993","0.6654611825942993","0.714150071144104","0.714150071144104","0.714150071144104","0.7617484331130981","0.7617484331130981","0.7617484331130981","0.7145024538040161","0.7145024538040161","0.7145024538040161","0.6230770349502563","0.6230770349502563","0.6230770349502563","0.7092434167861938","0.7092434167861938","0.7092434167861938","0.8368045091629028","0.8368045091629028","0.8368045091629028","0.7949240803718567","0.7949240803718567","0.7949240803718567","0.6587337255477905","0.6587337255477905","0.6587337255477905","0.7650934457778931","0.7650934457778931","0.7650934457778931","0.6416760683059692","0.6416760683059692","0.6416760683059692","0.6055023670196533","0.6055023670196533","0.6055023670196533","0.6869890093803406","0.6869890093803406","0.6869890093803406","0.6878215670585632","0.6878215670585632","0.6878215670585632","0.7348843812942505","0.7348843812942505","0.7348843812942505","0.6544033288955688","0.6544033288955688","0.6544033288955688"
