"Step","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/psnr","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/psnr__MIN","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/psnr__MAX","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/psnr","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/psnr__MIN","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/psnr__MAX","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/psnr","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/psnr__MIN","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/psnr__MAX","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/psnr","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/psnr__MIN","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/psnr__MAX","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/psnr","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/psnr__MIN","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/psnr__MAX"
"5000","25.073467254638672","25.073467254638672","25.073467254638672","24.300466537475586","24.300466537475586","24.300466537475586","24.709144592285156","24.709144592285156","24.709144592285156","22.58603286743164","22.58603286743164","22.58603286743164","24.76535415649414","24.76535415649414","24.76535415649414"
"10000","25.950664520263672","25.950664520263672","25.950664520263672","25.154462814331055","25.154462814331055","25.154462814331055","25.79207992553711","25.79207992553711","25.79207992553711","23.50145721435547","23.50145721435547","23.50145721435547","25.57962989807129","25.57962989807129","25.57962989807129"
"15000","26.299306869506836","26.299306869506836","26.299306869506836","25.54366683959961","25.54366683959961","25.54366683959961","26.48836898803711","26.48836898803711","26.48836898803711","23.918052673339844","23.918052673339844","23.918052673339844","25.885555267333984","25.885555267333984","25.885555267333984"
"20000","26.35714340209961","26.35714340209961","26.35714340209961","25.76150894165039","25.76150894165039","25.76150894165039","26.786081314086914","26.786081314086914","26.786081314086914","24.30995750427246","24.30995750427246","24.30995750427246","26.123937606811523","26.123937606811523","26.123937606811523"
"25000","26.598018646240234","26.598018646240234","26.598018646240234","25.879375457763672","25.879375457763672","25.879375457763672","26.929027557373047","26.929027557373047","26.929027557373047","24.45952033996582","24.45952033996582","24.45952033996582","26.187541961669922","26.187541961669922","26.187541961669922"
"30000","26.775653839111328","26.775653839111328","26.775653839111328","25.956716537475586","25.956716537475586","25.956716537475586","27.039356231689453","27.039356231689453","27.039356231689453","24.474185943603516","24.474185943603516","24.474185943603516","26.316173553466797","26.316173553466797","26.316173553466797"
"35000","26.817026138305664","26.817026138305664","26.817026138305664","26.030893325805664","26.030893325805664","26.030893325805664","27.262039184570312","27.262039184570312","27.262039184570312","24.537261962890625","24.537261962890625","24.537261962890625","26.37746810913086","26.37746810913086","26.37746810913086"
"40000","26.847652435302734","26.847652435302734","26.847652435302734","26.03289222717285","26.03289222717285","26.03289222717285","27.3675594329834","27.3675594329834","27.3675594329834","24.640064239501953","24.640064239501953","24.640064239501953","26.372570037841797","26.372570037841797","26.372570037841797"
