"Step","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX"
"5000","63.70363998413086","63.70363998413086","63.70363998413086","71.39181518554688","71.39181518554688","71.39181518554688","39.45557403564453","39.45557403564453","39.45557403564453","43.97905349731445","43.97905349731445","43.97905349731445","95.44561004638672","95.44561004638672","95.44561004638672"
"10000","43.46942901611328","43.46942901611328","43.46942901611328","58.69411087036133","58.69411087036133","58.69411087036133","31.457504272460938","31.457504272460938","31.457504272460938","28.638792037963867","28.638792037963867","28.638792037963867","45.753849029541016","45.753849029541016","45.753849029541016"
"15000","37.540489196777344","37.540489196777344","37.540489196777344","53.7449836730957","53.7449836730957","53.7449836730957","26.56622886657715","26.56622886657715","26.56622886657715","24.220687866210938","24.220687866210938","24.220687866210938","38.62882614135742","38.62882614135742","38.62882614135742"
"20000","36.03471374511719","36.03471374511719","36.03471374511719","50.21868133544922","50.21868133544922","50.21868133544922","23.619112014770508","23.619112014770508","23.619112014770508","22.559213638305664","22.559213638305664","22.559213638305664","34.751617431640625","34.751617431640625","34.751617431640625"
"25000","31.438722610473633","31.438722610473633","31.438722610473633","47.14456558227539","47.14456558227539","47.14456558227539","23.020782470703125","23.020782470703125","23.020782470703125","21.019994735717773","21.019994735717773","21.019994735717773","32.70584487915039","32.70584487915039","32.70584487915039"
"30000","32.3465690612793","32.3465690612793","32.3465690612793","42.54554748535156","42.54554748535156","42.54554748535156","22.554567337036133","22.554567337036133","22.554567337036133","20.94217300415039","20.94217300415039","20.94217300415039","32.44797897338867","32.44797897338867","32.44797897338867"
"35000","31.894128799438477","31.894128799438477","31.894128799438477","43.201377868652344","43.201377868652344","43.201377868652344","21.584333419799805","21.584333419799805","21.584333419799805","20.47446060180664","20.47446060180664","20.47446060180664","31.58461570739746","31.58461570739746","31.58461570739746"
"40000","30.13120460510254","30.13120460510254","30.13120460510254","43.52513122558594","43.52513122558594","43.52513122558594","21.19951057434082","21.19951057434082","21.19951057434082","20.299266815185547","20.299266815185547","20.299266815185547","31.447359085083008","31.447359085083008","31.447359085083008"
