"Step","12139546_240930_003147S30_UN4_CN4 - val_ssim","12139546_240930_003147S30_UN4_CN4 - val_ssim__MIN","12139546_240930_003147S30_UN4_CN4 - val_ssim__MAX","12139541_240930_002145S20_UN4_CN4 - val_ssim","12139541_240930_002145S20_UN4_CN4 - val_ssim__MIN","12139541_240930_002145S20_UN4_CN4 - val_ssim__MAX","12139540_240930_001906S10_UN4_CN4 - val_ssim","12139540_240930_001906S10_UN4_CN4 - val_ssim__MIN","12139540_240930_001906S10_UN4_CN4 - val_ssim__MAX","12139536_240930_001525S30_UN4_CN4 - val_ssim","12139536_240930_001525S30_UN4_CN4 - val_ssim__MIN","12139536_240930_001525S30_UN4_CN4 - val_ssim__MAX","12139535_240930_000850S20_UN4_CN4 - val_ssim","12139535_240930_000850S20_UN4_CN4 - val_ssim__MIN","12139535_240930_000850S20_UN4_CN4 - val_ssim__MAX","12139532_240930_000449S10_UN4_CN4 - val_ssim","12139532_240930_000449S10_UN4_CN4 - val_ssim__MIN","12139532_240930_000449S10_UN4_CN4 - val_ssim__MAX","12139528_240929_235208S30_UN4_CN4 - val_ssim","12139528_240929_235208S30_UN4_CN4 - val_ssim__MIN","12139528_240929_235208S30_UN4_CN4 - val_ssim__MAX","12139525_240929_232947S20_UN4_CN4 - val_ssim","12139525_240929_232947S20_UN4_CN4 - val_ssim__MIN","12139525_240929_232947S20_UN4_CN4 - val_ssim__MAX","12139524_240929_232850S10_UN4_CN4 - val_ssim","12139524_240929_232850S10_UN4_CN4 - val_ssim__MIN","12139524_240929_232850S10_UN4_CN4 - val_ssim__MAX","12139520_240929_232302S30_UN4_CN4 - val_ssim","12139520_240929_232302S30_UN4_CN4 - val_ssim__MIN","12139520_240929_232302S30_UN4_CN4 - val_ssim__MAX","12139519_240929_232250S20_UN4_CN4 - val_ssim","12139519_240929_232250S20_UN4_CN4 - val_ssim__MIN","12139519_240929_232250S20_UN4_CN4 - val_ssim__MAX","12139518_240929_232231S10_UN4_CN4 - val_ssim","12139518_240929_232231S10_UN4_CN4 - val_ssim__MIN","12139518_240929_232231S10_UN4_CN4 - val_ssim__MAX","12139514_240929_232129S30_UN4_CN4 - val_ssim","12139514_240929_232129S30_UN4_CN4 - val_ssim__MIN","12139514_240929_232129S30_UN4_CN4 - val_ssim__MAX","12139512_240929_232056S10_UN4_CN4 - val_ssim","12139512_240929_232056S10_UN4_CN4 - val_ssim__MIN","12139512_240929_232056S10_UN4_CN4 - val_ssim__MAX","12139513_240929_232052S20_UN4_CN4 - val_ssim","12139513_240929_232052S20_UN4_CN4 - val_ssim__MIN","12139513_240929_232052S20_UN4_CN4 - val_ssim__MAX","12139488_240929_231736S10_UN4 - val_ssim","12139488_240929_231736S10_UN4 - val_ssim__MIN","12139488_240929_231736S10_UN4 - val_ssim__MAX","12139495_240929_231734S20_UN4 - val_ssim","12139495_240929_231734S20_UN4 - val_ssim__MIN","12139495_240929_231734S20_UN4 - val_ssim__MAX","12139501_240929_231732S20_UN4 - val_ssim","12139501_240929_231732S20_UN4 - val_ssim__MIN","12139501_240929_231732S20_UN4 - val_ssim__MAX","12139490_240929_231736S30_UN4 - val_ssim","12139490_240929_231736S30_UN4 - val_ssim__MIN","12139490_240929_231736S30_UN4 - val_ssim__MAX","12139502_240929_231732S30_UN4 - val_ssim","12139502_240929_231732S30_UN4 - val_ssim__MIN","12139502_240929_231732S30_UN4 - val_ssim__MAX","12139500_240929_231732S10_UN4 - val_ssim","12139500_240929_231732S10_UN4 - val_ssim__MIN","12139500_240929_231732S10_UN4 - val_ssim__MAX","12139489_240929_231736S20_UN4 - val_ssim","12139489_240929_231736S20_UN4 - val_ssim__MIN","12139489_240929_231736S20_UN4 - val_ssim__MAX","12139496_240929_231736S30_UN4 - val_ssim","12139496_240929_231736S30_UN4 - val_ssim__MIN","12139496_240929_231736S30_UN4 - val_ssim__MAX","12139483_240929_231732S20_UN4 - val_ssim","12139483_240929_231732S20_UN4 - val_ssim__MIN","12139483_240929_231732S20_UN4 - val_ssim__MAX","12139484_240929_231732S30_UN4 - val_ssim","12139484_240929_231732S30_UN4 - val_ssim__MIN","12139484_240929_231732S30_UN4 - val_ssim__MAX","12139494_240929_231730S10_UN4 - val_ssim","12139494_240929_231730S10_UN4 - val_ssim__MIN","12139494_240929_231730S10_UN4 - val_ssim__MAX","12139482_240929_231728S10_UN4 - val_ssim","12139482_240929_231728S10_UN4 - val_ssim__MIN","12139482_240929_231728S10_UN4 - val_ssim__MAX","12139506_240929_231707S10_UN4 - val_ssim","12139506_240929_231707S10_UN4 - val_ssim__MIN","12139506_240929_231707S10_UN4 - val_ssim__MAX","12139508_240929_231705S30_UN4 - val_ssim","12139508_240929_231705S30_UN4 - val_ssim__MIN","12139508_240929_231705S30_UN4 - val_ssim__MAX","12139507_240929_231705S20_UN4 - val_ssim","12139507_240929_231705S20_UN4 - val_ssim__MIN","12139507_240929_231705S20_UN4 - val_ssim__MAX"
"80","0.6143578290939331","0.6143578290939331","0.6143578290939331","0.6576891541481018","0.6576891541481018","0.6576891541481018","0.7194014191627502","0.7194014191627502","0.7194014191627502","0.5770686268806458","0.5770686268806458","0.5770686268806458","0.614651620388031","0.614651620388031","0.614651620388031","0.674256443977356","0.674256443977356","0.674256443977356","0.7269553542137146","0.7269553542137146","0.7269553542137146","0.7670854926109314","0.7670854926109314","0.7670854926109314","0.8229316473007202","0.8229316473007202","0.8229316473007202","0.634074330329895","0.634074330329895","0.634074330329895","0.6801806688308716","0.6801806688308716","0.6801806688308716","0.7425729632377625","0.7425729632377625","0.7425729632377625","0.5903679132461548","0.5903679132461548","0.5903679132461548","0.6948134899139404","0.6948134899139404","0.6948134899139404","0.6322363615036011","0.6322363615036011","0.6322363615036011","0.7400538921356201","0.7400538921356201","0.7400538921356201","0.764904797077179","0.764904797077179","0.764904797077179","0.6102055907249451","0.6102055907249451","0.6102055907249451","0.6289800405502319","0.6289800405502319","0.6289800405502319","0.5738425254821777","0.5738425254821777","0.5738425254821777","0.672748863697052","0.672748863697052","0.672748863697052","0.6761800050735474","0.6761800050735474","0.6761800050735474","0.7213961482048035","0.7213961482048035","0.7213961482048035","0.6293725371360779","0.6293725371360779","0.6293725371360779","0.5862122774124146","0.5862122774124146","0.5862122774124146","0.8213402032852173","0.8213402032852173","0.8213402032852173","0.6936715841293335","0.6936715841293335","0.6936715841293335","0.7188469171524048","0.7188469171524048","0.7188469171524048","0.6133649349212646","0.6133649349212646","0.6133649349212646","0.6570129990577698","0.6570129990577698","0.6570129990577698"
"160","0.6224964261054993","0.6224964261054993","0.6224964261054993","0.6653445959091187","0.6653445959091187","0.6653445959091187","0.7214505076408386","0.7214505076408386","0.7214505076408386","0.5809445381164551","0.5809445381164551","0.5809445381164551","0.6208120584487915","0.6208120584487915","0.6208120584487915","0.6777902841567993","0.6777902841567993","0.6777902841567993","0.7307490706443787","0.7307490706443787","0.7307490706443787","0.7758283019065857","0.7758283019065857","0.7758283019065857","0.8265973925590515","0.8265973925590515","0.8265973925590515","0.6444321870803833","0.6444321870803833","0.6444321870803833","0.6891648769378662","0.6891648769378662","0.6891648769378662","0.7477005124092102","0.7477005124092102","0.7477005124092102","0.5931264758110046","0.5931264758110046","0.5931264758110046","0.6982214450836182","0.6982214450836182","0.6982214450836182","0.6353942155838013","0.6353942155838013","0.6353942155838013","0.7430378794670105","0.7430378794670105","0.7430378794670105","0.769690990447998","0.769690990447998","0.769690990447998","0.6160526275634766","0.6160526275634766","0.6160526275634766","0.6356621384620667","0.6356621384620667","0.6356621384620667","0.5781823992729187","0.5781823992729187","0.5781823992729187","0.6741572618484497","0.6741572618484497","0.6741572618484497","0.6822164058685303","0.6822164058685303","0.6822164058685303","0.7228172421455383","0.7228172421455383","0.7228172421455383","0.6318731307983398","0.6318731307983398","0.6318731307983398","0.5889460444450378","0.5889460444450378","0.5889460444450378","0.8233441114425659","0.8233441114425659","0.8233441114425659","0.695621132850647","0.695621132850647","0.695621132850647","0.7200628519058228","0.7200628519058228","0.7200628519058228","0.6183142066001892","0.6183142066001892","0.6183142066001892","0.6606685519218445","0.6606685519218445","0.6606685519218445"
"240","0.6284782290458679","0.6284782290458679","0.6284782290458679","0.6721542477607727","0.6721542477607727","0.6721542477607727","0.7257205247879028","0.7257205247879028","0.7257205247879028","0.5859006643295288","0.5859006643295288","0.5859006643295288","0.6223741769790649","0.6223741769790649","0.6223741769790649","0.680627703666687","0.680627703666687","0.680627703666687","0.7419021725654602","0.7419021725654602","0.7419021725654602","0.7782863974571228","0.7782863974571228","0.7782863974571228","0.827147364616394","0.827147364616394","0.827147364616394","0.6520236730575562","0.6520236730575562","0.6520236730575562","0.6927465200424194","0.6927465200424194","0.6927465200424194","0.7478588819503784","0.7478588819503784","0.7478588819503784","0.600264310836792","0.600264310836792","0.600264310836792","0.6988198757171631","0.6988198757171631","0.6988198757171631","0.6398262977600098","0.6398262977600098","0.6398262977600098","0.7426539063453674","0.7426539063453674","0.7426539063453674","0.7708944082260132","0.7708944082260132","0.7708944082260132","0.6137046813964844","0.6137046813964844","0.6137046813964844","0.6392232775688171","0.6392232775688171","0.6392232775688171","0.5792014002799988","0.5792014002799988","0.5792014002799988","0.6757169961929321","0.6757169961929321","0.6757169961929321","0.6814838647842407","0.6814838647842407","0.6814838647842407","0.7287686467170715","0.7287686467170715","0.7287686467170715","0.6335229277610779","0.6335229277610779","0.6335229277610779","0.592228353023529","0.592228353023529","0.592228353023529","0.8235059976577759","0.8235059976577759","0.8235059976577759","0.6954663395881653","0.6954663395881653","0.6954663395881653","0.7219364643096924","0.7219364643096924","0.7219364643096924","0.6203560829162598","0.6203560829162598","0.6203560829162598","0.6646780967712402","0.6646780967712402","0.6646780967712402"
"320","0.6305283308029175","0.6305283308029175","0.6305283308029175","0.6738370060920715","0.6738370060920715","0.6738370060920715","0.7273128032684326","0.7273128032684326","0.7273128032684326","0.5879606008529663","0.5879606008529663","0.5879606008529663","0.6259883046150208","0.6259883046150208","0.6259883046150208","0.6800576448440552","0.6800576448440552","0.6800576448440552","0.746984601020813","0.746984601020813","0.746984601020813","0.7825818657875061","0.7825818657875061","0.7825818657875061","0.8310620188713074","0.8310620188713074","0.8310620188713074","0.6569726467132568","0.6569726467132568","0.6569726467132568","0.697629988193512","0.697629988193512","0.697629988193512","0.7519028186798096","0.7519028186798096","0.7519028186798096","0.601807713508606","0.601807713508606","0.601807713508606","0.700437068939209","0.700437068939209","0.700437068939209","0.6449117660522461","0.6449117660522461","0.6449117660522461","0.7447165250778198","0.7447165250778198","0.7447165250778198","0.7742897272109985","0.7742897272109985","0.7742897272109985","0.6168357729911804","0.6168357729911804","0.6168357729911804","0.641211986541748","0.641211986541748","0.641211986541748","0.578835129737854","0.578835129737854","0.578835129737854","0.6742667555809021","0.6742667555809021","0.6742667555809021","0.6839268207550049","0.6839268207550049","0.6839268207550049","0.7327191233634949","0.7327191233634949","0.7327191233634949","0.6364246606826782","0.6364246606826782","0.6364246606826782","0.5935425162315369","0.5935425162315369","0.5935425162315369","0.8253880739212036","0.8253880739212036","0.8253880739212036","0.6958560347557068","0.6958560347557068","0.6958560347557068","0.7228235006332397","0.7228235006332397","0.7228235006332397","0.6222332715988159","0.6222332715988159","0.6222332715988159","0.6651993989944458","0.6651993989944458","0.6651993989944458"
"400","0.6356840133666992","0.6356840133666992","0.6356840133666992","0.6774880886077881","0.6774880886077881","0.6774880886077881","0.7291761636734009","0.7291761636734009","0.7291761636734009","0.5948164463043213","0.5948164463043213","0.5948164463043213","0.6295650601387024","0.6295650601387024","0.6295650601387024","0.6831108331680298","0.6831108331680298","0.6831108331680298","0.7517896890640259","0.7517896890640259","0.7517896890640259","0.7883102893829346","0.7883102893829346","0.7883102893829346","0.8305892944335938","0.8305892944335938","0.8305892944335938","0.6606279611587524","0.6606279611587524","0.6606279611587524","0.7035164833068848","0.7035164833068848","0.7035164833068848","0.7552590370178223","0.7552590370178223","0.7552590370178223","0.6077412962913513","0.6077412962913513","0.6077412962913513","0.7023541927337646","0.7023541927337646","0.7023541927337646","0.6478852033615112","0.6478852033615112","0.6478852033615112","0.7470914125442505","0.7470914125442505","0.7470914125442505","0.7769994735717773","0.7769994735717773","0.7769994735717773","0.6173088550567627","0.6173088550567627","0.6173088550567627","0.6433797478675842","0.6433797478675842","0.6433797478675842","0.5836703777313232","0.5836703777313232","0.5836703777313232","0.6768526434898376","0.6768526434898376","0.6768526434898376","0.6887397766113281","0.6887397766113281","0.6887397766113281","0.7331741452217102","0.7331741452217102","0.7331741452217102","0.6375352144241333","0.6375352144241333","0.6375352144241333","0.5961577296257019","0.5961577296257019","0.5961577296257019","0.8245223164558411","0.8245223164558411","0.8245223164558411","0.6981624960899353","0.6981624960899353","0.6981624960899353","0.7234057188034058","0.7234057188034058","0.7234057188034058","0.6248010396957397","0.6248010396957397","0.6248010396957397","0.6663526296615601","0.6663526296615601","0.6663526296615601"
"480","0.6418785452842712","0.6418785452842712","0.6418785452842712","0.6794754862785339","0.6794754862785339","0.6794754862785339","0.731083869934082","0.731083869934082","0.731083869934082","0.5954850316047668","0.5954850316047668","0.5954850316047668","0.6347046494483948","0.6347046494483948","0.6347046494483948","0.6849130392074585","0.6849130392074585","0.6849130392074585","0.7556859254837036","0.7556859254837036","0.7556859254837036","0.7901631593704224","0.7901631593704224","0.7901631593704224","0.8322420120239258","0.8322420120239258","0.8322420120239258","0.6651684045791626","0.6651684045791626","0.6651684045791626","0.7058585286140442","0.7058585286140442","0.7058585286140442","0.7551628947257996","0.7551628947257996","0.7551628947257996","0.6074990034103394","0.6074990034103394","0.6074990034103394","0.7031806111335754","0.7031806111335754","0.7031806111335754","0.6510887742042542","0.6510887742042542","0.6510887742042542","0.7462654113769531","0.7462654113769531","0.7462654113769531","0.7772279381752014","0.7772279381752014","0.7772279381752014","0.6196781992912292","0.6196781992912292","0.6196781992912292","0.6463279128074646","0.6463279128074646","0.6463279128074646","0.5834291577339172","0.5834291577339172","0.5834291577339172","0.6781421303749084","0.6781421303749084","0.6781421303749084","0.6912066340446472","0.6912066340446472","0.6912066340446472","0.735770583152771","0.735770583152771","0.735770583152771","0.6383801698684692","0.6383801698684692","0.6383801698684692","0.5983323454856873","0.5983323454856873","0.5983323454856873","0.8254733085632324","0.8254733085632324","0.8254733085632324","0.6980953216552734","0.6980953216552734","0.6980953216552734","0.72514408826828","0.72514408826828","0.72514408826828","0.6267973184585571","0.6267973184585571","0.6267973184585571","0.6687086224555969","0.6687086224555969","0.6687086224555969"
"560","0.6453790068626404","0.6453790068626404","0.6453790068626404","0.6829575300216675","0.6829575300216675","0.6829575300216675","0.7318018078804016","0.7318018078804016","0.7318018078804016","0.6019691228866577","0.6019691228866577","0.6019691228866577","0.6377393007278442","0.6377393007278442","0.6377393007278442","0.6879347562789917","0.6879347562789917","0.6879347562789917","0.7582932710647583","0.7582932710647583","0.7582932710647583","0.7912188768386841","0.7912188768386841","0.7912188768386841","0.8354016542434692","0.8354016542434692","0.8354016542434692","0.6704013347625732","0.6704013347625732","0.6704013347625732","0.7069205641746521","0.7069205641746521","0.7069205641746521","0.7563019394874573","0.7563019394874573","0.7563019394874573","0.6147893667221069","0.6147893667221069","0.6147893667221069","0.7034640312194824","0.7034640312194824","0.7034640312194824","0.6530102491378784","0.6530102491378784","0.6530102491378784","0.7459011077880859","0.7459011077880859","0.7459011077880859","0.7762184739112854","0.7762184739112854","0.7762184739112854","0.6210871934890747","0.6210871934890747","0.6210871934890747","0.6499708294868469","0.6499708294868469","0.6499708294868469","0.5884659886360168","0.5884659886360168","0.5884659886360168","0.6786727905273438","0.6786727905273438","0.6786727905273438","0.6896361112594604","0.6896361112594604","0.6896361112594604","0.7395660281181335","0.7395660281181335","0.7395660281181335","0.6407781839370728","0.6407781839370728","0.6407781839370728","0.6018765568733215","0.6018765568733215","0.6018765568733215","0.8263846635818481","0.8263846635818481","0.8263846635818481","0.6968916654586792","0.6968916654586792","0.6968916654586792","0.7246002554893494","0.7246002554893494","0.7246002554893494","0.6302233934402466","0.6302233934402466","0.6302233934402466","0.6698118448257446","0.6698118448257446","0.6698118448257446"
"640","0.6465621590614319","0.6465621590614319","0.6465621590614319","0.6859135627746582","0.6859135627746582","0.6859135627746582","0.734040379524231","0.734040379524231","0.734040379524231","0.6054182648658752","0.6054182648658752","0.6054182648658752","0.6374679207801819","0.6374679207801819","0.6374679207801819","0.6879838705062866","0.6879838705062866","0.6879838705062866","0.763184130191803","0.763184130191803","0.763184130191803","0.794603168964386","0.794603168964386","0.794603168964386","0.8355402946472168","0.8355402946472168","0.8355402946472168","0.6695247888565063","0.6695247888565063","0.6695247888565063","0.7084187269210815","0.7084187269210815","0.7084187269210815","0.7587375044822693","0.7587375044822693","0.7587375044822693","0.6202892065048218","0.6202892065048218","0.6202892065048218","0.7065859436988831","0.7065859436988831","0.7065859436988831","0.6559427380561829","0.6559427380561829","0.6559427380561829","0.7492230534553528","0.7492230534553528","0.7492230534553528","0.7801538705825806","0.7801538705825806","0.7801538705825806","0.6218982338905334","0.6218982338905334","0.6218982338905334","0.6494165658950806","0.6494165658950806","0.6494165658950806","0.5863701105117798","0.5863701105117798","0.5863701105117798","0.6788463592529297","0.6788463592529297","0.6788463592529297","0.6922749280929565","0.6922749280929565","0.6922749280929565","0.7406858205795288","0.7406858205795288","0.7406858205795288","0.6432818174362183","0.6432818174362183","0.6432818174362183","0.6030941605567932","0.6030941605567932","0.6030941605567932","0.8265208005905151","0.8265208005905151","0.8265208005905151","0.7001208066940308","0.7001208066940308","0.7001208066940308","0.7256555557250977","0.7256555557250977","0.7256555557250977","0.630236029624939","0.630236029624939","0.630236029624939","0.6716589331626892","0.6716589331626892","0.6716589331626892"
"720","0.650941014289856","0.650941014289856","0.650941014289856","0.6840639114379883","0.6840639114379883","0.6840639114379883","0.7345637083053589","0.7345637083053589","0.7345637083053589","0.604928195476532","0.604928195476532","0.604928195476532","0.6395007371902466","0.6395007371902466","0.6395007371902466","0.6899451017379761","0.6899451017379761","0.6899451017379761","0.7654786705970764","0.7654786705970764","0.7654786705970764","0.796737790107727","0.796737790107727","0.796737790107727","0.8378019332885742","0.8378019332885742","0.8378019332885742","0.6721663475036621","0.6721663475036621","0.6721663475036621","0.7128939628601074","0.7128939628601074","0.7128939628601074","0.7621194124221802","0.7621194124221802","0.7621194124221802","0.6167129278182983","0.6167129278182983","0.6167129278182983","0.7068994045257568","0.7068994045257568","0.7068994045257568","0.658039927482605","0.658039927482605","0.658039927482605","0.7503441572189331","0.7503441572189331","0.7503441572189331","0.7801943421363831","0.7801943421363831","0.7801943421363831","0.6212226152420044","0.6212226152420044","0.6212226152420044","0.6532516479492188","0.6532516479492188","0.6532516479492188","0.5889202356338501","0.5889202356338501","0.5889202356338501","0.6802380681037903","0.6802380681037903","0.6802380681037903","0.6947355270385742","0.6947355270385742","0.6947355270385742","0.7445789575576782","0.7445789575576782","0.7445789575576782","0.6424895524978638","0.6424895524978638","0.6424895524978638","0.6033344268798828","0.6033344268798828","0.6033344268798828","0.8271869421005249","0.8271869421005249","0.8271869421005249","0.6998096704483032","0.6998096704483032","0.6998096704483032","0.7244614362716675","0.7244614362716675","0.7244614362716675","0.6324908137321472","0.6324908137321472","0.6324908137321472","0.6698324680328369","0.6698324680328369","0.6698324680328369"
"800","0.6511011719703674","0.6511011719703674","0.6511011719703674","0.688393235206604","0.688393235206604","0.688393235206604","0.736545205116272","0.736545205116272","0.736545205116272","0.6097661256790161","0.6097661256790161","0.6097661256790161","0.6437925100326538","0.6437925100326538","0.6437925100326538","0.6917721033096313","0.6917721033096313","0.6917721033096313","0.7676812410354614","0.7676812410354614","0.7676812410354614","0.798282265663147","0.798282265663147","0.798282265663147","0.8395848274230957","0.8395848274230957","0.8395848274230957","0.6751580834388733","0.6751580834388733","0.6751580834388733","0.7126846313476562","0.7126846313476562","0.7126846313476562","0.7609423398971558","0.7609423398971558","0.7609423398971558","0.6226020455360413","0.6226020455360413","0.6226020455360413","0.708498477935791","0.708498477935791","0.708498477935791","0.6589722633361816","0.6589722633361816","0.6589722633361816","0.7502028346061707","0.7502028346061707","0.7502028346061707","0.7824351787567139","0.7824351787567139","0.7824351787567139","0.6215482354164124","0.6215482354164124","0.6215482354164124","0.6526666879653931","0.6526666879653931","0.6526666879653931","0.5901473164558411","0.5901473164558411","0.5901473164558411","0.6806663274765015","0.6806663274765015","0.6806663274765015","0.6933504939079285","0.6933504939079285","0.6933504939079285","0.7440820336341858","0.7440820336341858","0.7440820336341858","0.6417627334594727","0.6417627334594727","0.6417627334594727","0.6073322892189026","0.6073322892189026","0.6073322892189026","0.8287715911865234","0.8287715911865234","0.8287715911865234","0.7003715634346008","0.7003715634346008","0.7003715634346008","0.7262374758720398","0.7262374758720398","0.7262374758720398","0.6347588896751404","0.6347588896751404","0.6347588896751404","0.6731129884719849","0.6731129884719849","0.6731129884719849"
