"Step","20241024_074556_12245176 - Eval Images Metrics Dict (all images)/psnr","20241024_074556_12245176 - Eval Images Metrics Dict (all images)/psnr__MIN","20241024_074556_12245176 - Eval Images Metrics Dict (all images)/psnr__MAX","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/psnr","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/psnr__MIN","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/psnr__MAX","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/psnr","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/psnr__MIN","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/psnr__MAX","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/psnr","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/psnr__MIN","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/psnr__MAX","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/psnr","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/psnr__MIN","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/psnr__MAX"
"5000","26.266698837280273","26.266698837280273","26.266698837280273","24.156185150146484","24.156185150146484","24.156185150146484","26.435989379882812","26.435989379882812","26.435989379882812","25.706512451171875","25.706512451171875","25.706512451171875","26.0598087310791","26.0598087310791","26.0598087310791"
"10000","26.606481552124023","26.606481552124023","26.606481552124023","24.415014266967773","24.415014266967773","24.415014266967773","26.623306274414062","26.623306274414062","26.623306274414062","25.865331649780273","25.865331649780273","25.865331649780273","26.1763858795166","26.1763858795166","26.1763858795166"
"15000","26.892333984375","26.892333984375","26.892333984375","24.647918701171875","24.647918701171875","24.647918701171875","26.80145263671875","26.80145263671875","26.80145263671875","26.010509490966797","26.010509490966797","26.010509490966797","26.319616317749023","26.319616317749023","26.319616317749023"
"20000","26.454120635986328","26.454120635986328","26.454120635986328","24.76723289489746","24.76723289489746","24.76723289489746","26.846960067749023","26.846960067749023","26.846960067749023","26.024616241455078","26.024616241455078","26.024616241455078","26.367328643798828","26.367328643798828","26.367328643798828"
"25000","26.372303009033203","26.372303009033203","26.372303009033203","24.74176025390625","24.74176025390625","24.74176025390625","27.010547637939453","27.010547637939453","27.010547637939453","26.14780616760254","26.14780616760254","26.14780616760254","26.403289794921875","26.403289794921875","26.403289794921875"
"30000","26.437145233154297","26.437145233154297","26.437145233154297","24.72864532470703","24.72864532470703","24.72864532470703","27.016653060913086","27.016653060913086","27.016653060913086","26.15561294555664","26.15561294555664","26.15561294555664","26.456640243530273","26.456640243530273","26.456640243530273"
"35000","26.414745330810547","26.414745330810547","26.414745330810547","24.822162628173828","24.822162628173828","24.822162628173828","27.012256622314453","27.012256622314453","27.012256622314453","26.126001358032227","26.126001358032227","26.126001358032227","26.497051239013672","26.497051239013672","26.497051239013672"
"40000","26.426128387451172","26.426128387451172","26.426128387451172","24.84368324279785","24.84368324279785","24.84368324279785","25.8919620513916","25.8919620513916","25.8919620513916","26.17203712463379","26.17203712463379","26.17203712463379","26.47317123413086","26.47317123413086","26.47317123413086"
