"Step","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/ssim","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/ssim__MIN","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/ssim__MAX","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/ssim","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/ssim__MIN","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/ssim__MAX","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/ssim","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/ssim__MIN","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/ssim__MAX","20241018_194215_12222555 - Eval Images Metrics Dict (all images)/ssim","20241018_194215_12222555 - Eval Images Metrics Dict (all images)/ssim__MIN","20241018_194215_12222555 - Eval Images Metrics Dict (all images)/ssim__MAX","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/ssim","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/ssim__MIN","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/ssim__MAX"
"5000","0.7663215398788452","0.7663215398788452","0.7663215398788452","0.7932923436164856","0.7932923436164856","0.7932923436164856","0.716814398765564","0.716814398765564","0.716814398765564","0.6931400299072266","0.6931400299072266","0.6931400299072266","0.7529603838920593","0.7529603838920593","0.7529603838920593"
"10000","0.7752619981765747","0.7752619981765747","0.7752619981765747","0.8006352186203003","0.8006352186203003","0.8006352186203003","0.7262290120124817","0.7262290120124817","0.7262290120124817","","","","0.7572448253631592","0.7572448253631592","0.7572448253631592"
"15000","0.7833563089370728","0.7833563089370728","0.7833563089370728","0.802221953868866","0.802221953868866","0.802221953868866","0.7294982671737671","0.7294982671737671","0.7294982671737671","","","","0.7632430195808411","0.7632430195808411","0.7632430195808411"
"20000","0.7875779867172241","0.7875779867172241","0.7875779867172241","0.806224524974823","0.806224524974823","0.806224524974823","0.7320343852043152","0.7320343852043152","0.7320343852043152","","","","0.7651443481445312","0.7651443481445312","0.7651443481445312"
"25000","0.7907275557518005","0.7907275557518005","0.7907275557518005","0.8112014532089233","0.8112014532089233","0.8112014532089233","0.735651433467865","0.735651433467865","0.735651433467865","","","","0.7683425545692444","0.7683425545692444","0.7683425545692444"
"30000","0.790617823600769","0.790617823600769","0.790617823600769","0.8119454383850098","0.8119454383850098","0.8119454383850098","0.7362192273139954","0.7362192273139954","0.7362192273139954","","","","0.769126296043396","0.769126296043396","0.769126296043396"
"35000","0.7938219904899597","0.7938219904899597","0.7938219904899597","0.8117544054985046","0.8117544054985046","0.8117544054985046","0.7363007664680481","0.7363007664680481","0.7363007664680481","","","","0.7704559564590454","0.7704559564590454","0.7704559564590454"
"40000","0.7942482233047485","0.7942482233047485","0.7942482233047485","0.7299764752388","0.7299764752388","0.7299764752388","0.7368345260620117","0.7368345260620117","0.7368345260620117","","","","0.7694443464279175","0.7694443464279175","0.7694443464279175"
