"Step","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/lpips","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/lpips__MIN","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/lpips__MAX","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/lpips","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/lpips__MIN","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/lpips__MAX","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/lpips","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/lpips__MIN","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/lpips__MAX","20241018_194215_12222555 - Eval Images Metrics Dict (all images)/lpips","20241018_194215_12222555 - Eval Images Metrics Dict (all images)/lpips__MIN","20241018_194215_12222555 - Eval Images Metrics Dict (all images)/lpips__MAX","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/lpips","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/lpips__MIN","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/lpips__MAX"
"5000","0.20930948853492737","0.20930948853492737","0.20930948853492737","0.20068371295928955","0.20068371295928955","0.20068371295928955","0.26687848567962646","0.26687848567962646","0.26687848567962646","0.3719547688961029","0.3719547688961029","0.3719547688961029","0.222438782453537","0.222438782453537","0.222438782453537"
"10000","0.19063371419906616","0.19063371419906616","0.19063371419906616","0.1761980652809143","0.1761980652809143","0.1761980652809143","0.2532878518104553","0.2532878518104553","0.2532878518104553","","","","0.21101894974708557","0.21101894974708557","0.21101894974708557"
"15000","0.1839500069618225","0.1839500069618225","0.1839500069618225","0.17102229595184326","0.17102229595184326","0.17102229595184326","0.2513321340084076","0.2513321340084076","0.2513321340084076","","","","0.20092268288135529","0.20092268288135529","0.20092268288135529"
"20000","0.1810663938522339","0.1810663938522339","0.1810663938522339","0.16580705344676971","0.16580705344676971","0.16580705344676971","0.24556951224803925","0.24556951224803925","0.24556951224803925","","","","0.19970333576202393","0.19970333576202393","0.19970333576202393"
"25000","0.17491313815116882","0.17491313815116882","0.17491313815116882","0.16481631994247437","0.16481631994247437","0.16481631994247437","0.2405100166797638","0.2405100166797638","0.2405100166797638","","","","0.19171160459518433","0.19171160459518433","0.19171160459518433"
"30000","0.17492015659809113","0.17492015659809113","0.17492015659809113","0.1626671850681305","0.1626671850681305","0.1626671850681305","0.23892652988433838","0.23892652988433838","0.23892652988433838","","","","0.19084465503692627","0.19084465503692627","0.19084465503692627"
"35000","0.17414753139019012","0.17414753139019012","0.17414753139019012","0.1614132821559906","0.1614132821559906","0.1614132821559906","0.23862557113170624","0.23862557113170624","0.23862557113170624","","","","0.18842558562755585","0.18842558562755585","0.18842558562755585"
"40000","0.1728118360042572","0.1728118360042572","0.1728118360042572","0.25336071848869324","0.25336071848869324","0.25336071848869324","0.23637667298316956","0.23637667298316956","0.23637667298316956","","","","0.18705768883228302","0.18705768883228302","0.18705768883228302"
