"Step","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/ssim","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/ssim__MIN","20240929_154510_12137847_ - Eval Images Metrics Dict (all images)/ssim__MAX","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/ssim","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/ssim__MIN","20240929_154507_12137846_ - Eval Images Metrics Dict (all images)/ssim__MAX","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/ssim","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/ssim__MIN","20240929_154504_12137845_ - Eval Images Metrics Dict (all images)/ssim__MAX","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/ssim","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/ssim__MIN","20240929_154501_12137844_ - Eval Images Metrics Dict (all images)/ssim__MAX","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/ssim","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/ssim__MIN","20240929_154459_12137843_ - Eval Images Metrics Dict (all images)/ssim__MAX"
"5000","0.7334545850753784","0.7334545850753784","0.7334545850753784","0.6473348140716553","0.6473348140716553","0.6473348140716553","0.7915626764297485","0.7915626764297485","0.7915626764297485","0.6909207701683044","0.6909207701683044","0.6909207701683044","0.687462568283081","0.687462568283081","0.687462568283081"
"10000","0.7676351070404053","0.7676351070404053","0.7676351070404053","0.6890965700149536","0.6890965700149536","0.6890965700149536","0.82403165102005","0.82403165102005","0.82403165102005","0.7334958910942078","0.7334958910942078","0.7334958910942078","0.7249946594238281","0.7249946594238281","0.7249946594238281"
"15000","0.7833910584449768","0.7833910584449768","0.7833910584449768","0.7067278027534485","0.7067278027534485","0.7067278027534485","0.8429405093193054","0.8429405093193054","0.8429405093193054","0.7526682019233704","0.7526682019233704","0.7526682019233704","0.739717423915863","0.739717423915863","0.739717423915863"
"20000","0.7899125814437866","0.7899125814437866","0.7899125814437866","0.7163053750991821","0.7163053750991821","0.7163053750991821","0.8508214950561523","0.8508214950561523","0.8508214950561523","0.767723023891449","0.767723023891449","0.767723023891449","0.748935341835022","0.748935341835022","0.748935341835022"
"25000","0.7976914048194885","0.7976914048194885","0.7976914048194885","0.7222127914428711","0.7222127914428711","0.7222127914428711","0.857979416847229","0.857979416847229","0.857979416847229","0.773876965045929","0.773876965045929","0.773876965045929","0.7560780644416809","0.7560780644416809","0.7560780644416809"
"30000","0.8022090196609497","0.8022090196609497","0.8022090196609497","0.7242032885551453","0.7242032885551453","0.7242032885551453","0.8625240325927734","0.8625240325927734","0.8625240325927734","0.7774437665939331","0.7774437665939331","0.7774437665939331","0.7571581602096558","0.7571581602096558","0.7571581602096558"
"35000","0.8023141622543335","0.8023141622543335","0.8023141622543335","0.7269822955131531","0.7269822955131531","0.7269822955131531","0.8647598028182983","0.8647598028182983","0.8647598028182983","0.7806140184402466","0.7806140184402466","0.7806140184402466","0.7608689069747925","0.7608689069747925","0.7608689069747925"
"40000","0.8048993349075317","0.8048993349075317","0.8048993349075317","0.7284148931503296","0.7284148931503296","0.7284148931503296","0.8685617446899414","0.8685617446899414","0.8685617446899414","0.7834956645965576","0.7834956645965576","0.7834956645965576","0.7627786993980408","0.7627786993980408","0.7627786993980408"
