"Step","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX"
"5000","27.35614776611328","27.35614776611328","27.35614776611328","38.44596481323242","38.44596481323242","38.44596481323242","33.41233444213867","33.41233444213867","33.41233444213867","30.97369384765625","30.97369384765625","30.97369384765625","26.273700714111328","26.273700714111328","26.273700714111328","34.05949020385742","34.05949020385742","34.05949020385742","28.542701721191406","28.542701721191406","28.542701721191406","38.86414337158203","38.86414337158203","38.86414337158203","35.347293853759766","35.347293853759766","35.347293853759766","38.40336227416992","38.40336227416992","38.40336227416992","34.50748062133789","34.50748062133789","34.50748062133789","35.97309494018555","35.97309494018555","35.97309494018555"
"10000","24.993072509765625","24.993072509765625","24.993072509765625","32.059356689453125","32.059356689453125","32.059356689453125","31.42178726196289","31.42178726196289","31.42178726196289","29.387521743774414","29.387521743774414","29.387521743774414","25.152196884155273","25.152196884155273","25.152196884155273","30.013444900512695","30.013444900512695","30.013444900512695","71.33317565917969","71.33317565917969","71.33317565917969","32.67425537109375","32.67425537109375","32.67425537109375","30.762344360351562","30.762344360351562","30.762344360351562","82.71649169921875","82.71649169921875","82.71649169921875","32.26517105102539","32.26517105102539","32.26517105102539","30.54629898071289","30.54629898071289","30.54629898071289"
"15000","24.571752548217773","24.571752548217773","24.571752548217773","32.62582015991211","32.62582015991211","32.62582015991211","30.74662208557129","30.74662208557129","30.74662208557129","27.310688018798828","27.310688018798828","27.310688018798828","21.985816955566406","21.985816955566406","21.985816955566406","28.677385330200195","28.677385330200195","28.677385330200195","104.57579040527344","104.57579040527344","104.57579040527344","31.020631790161133","31.020631790161133","31.020631790161133","29.866056442260742","29.866056442260742","29.866056442260742","","","","31.921995162963867","31.921995162963867","31.921995162963867","28.781179428100586","28.781179428100586","28.781179428100586"
"20000","26.91571617126465","26.91571617126465","26.91571617126465","29.869915008544922","29.869915008544922","29.869915008544922","30.612564086914062","30.612564086914062","30.612564086914062","26.896194458007812","26.896194458007812","26.896194458007812","27.063520431518555","27.063520431518555","27.063520431518555","26.845205307006836","26.845205307006836","26.845205307006836","108.94235229492188","108.94235229492188","108.94235229492188","31.742231369018555","31.742231369018555","31.742231369018555","28.5096378326416","28.5096378326416","28.5096378326416","","","","29.73885726928711","29.73885726928711","29.73885726928711","27.852275848388672","27.852275848388672","27.852275848388672"
"25000","83.5715560913086","83.5715560913086","83.5715560913086","30.973047256469727","30.973047256469727","30.973047256469727","29.886394500732422","29.886394500732422","29.886394500732422","25.69599151611328","25.69599151611328","25.69599151611328","42.29365921020508","42.29365921020508","42.29365921020508","27.64474868774414","27.64474868774414","27.64474868774414","121.87106323242188","121.87106323242188","121.87106323242188","30.921913146972656","30.921913146972656","30.921913146972656","26.93385124206543","26.93385124206543","26.93385124206543","","","","28.4063777923584","28.4063777923584","28.4063777923584","26.765193939208984","26.765193939208984","26.765193939208984"
"30000","86.07473754882812","86.07473754882812","86.07473754882812","28.379322052001953","28.379322052001953","28.379322052001953","111.86880493164062","111.86880493164062","111.86880493164062","26.63128089904785","26.63128089904785","26.63128089904785","","","","27.318805694580078","27.318805694580078","27.318805694580078","113.60445404052734","113.60445404052734","113.60445404052734","30.586833953857422","30.586833953857422","30.586833953857422","26.36636734008789","26.36636734008789","26.36636734008789","","","","29.967069625854492","29.967069625854492","29.967069625854492","26.617523193359375","26.617523193359375","26.617523193359375"
"35000","78.93280792236328","78.93280792236328","78.93280792236328","29.01259994506836","29.01259994506836","29.01259994506836","","","","26.410213470458984","26.410213470458984","26.410213470458984","","","","25.793542861938477","25.793542861938477","25.793542861938477","","","","29.64119529724121","29.64119529724121","29.64119529724121","27.77101707458496","27.77101707458496","27.77101707458496","","","","28.537145614624023","28.537145614624023","28.537145614624023","25.067615509033203","25.067615509033203","25.067615509033203"
"40000","","","","27.273656845092773","27.273656845092773","27.273656845092773","","","","27.6141414642334","27.6141414642334","27.6141414642334","","","","25.854629516601562","25.854629516601562","25.854629516601562","","","","28.56150245666504","28.56150245666504","28.56150245666504","89.08760070800781","89.08760070800781","89.08760070800781","","","","27.931400299072266","27.931400299072266","27.931400299072266","25.05278205871582","25.05278205871582","25.05278205871582"
