"Step","12139546_240930_003147S30_UN4_CN4 - val_val_ref_ssim","12139546_240930_003147S30_UN4_CN4 - val_val_ref_ssim__MIN","12139546_240930_003147S30_UN4_CN4 - val_val_ref_ssim__MAX","12139541_240930_002145S20_UN4_CN4 - val_val_ref_ssim","12139541_240930_002145S20_UN4_CN4 - val_val_ref_ssim__MIN","12139541_240930_002145S20_UN4_CN4 - val_val_ref_ssim__MAX","12139540_240930_001906S10_UN4_CN4 - val_val_ref_ssim","12139540_240930_001906S10_UN4_CN4 - val_val_ref_ssim__MIN","12139540_240930_001906S10_UN4_CN4 - val_val_ref_ssim__MAX","12139536_240930_001525S30_UN4_CN4 - val_val_ref_ssim","12139536_240930_001525S30_UN4_CN4 - val_val_ref_ssim__MIN","12139536_240930_001525S30_UN4_CN4 - val_val_ref_ssim__MAX","12139535_240930_000850S20_UN4_CN4 - val_val_ref_ssim","12139535_240930_000850S20_UN4_CN4 - val_val_ref_ssim__MIN","12139535_240930_000850S20_UN4_CN4 - val_val_ref_ssim__MAX","12139532_240930_000449S10_UN4_CN4 - val_val_ref_ssim","12139532_240930_000449S10_UN4_CN4 - val_val_ref_ssim__MIN","12139532_240930_000449S10_UN4_CN4 - val_val_ref_ssim__MAX","12139528_240929_235208S30_UN4_CN4 - val_val_ref_ssim","12139528_240929_235208S30_UN4_CN4 - val_val_ref_ssim__MIN","12139528_240929_235208S30_UN4_CN4 - val_val_ref_ssim__MAX","12139525_240929_232947S20_UN4_CN4 - val_val_ref_ssim","12139525_240929_232947S20_UN4_CN4 - val_val_ref_ssim__MIN","12139525_240929_232947S20_UN4_CN4 - val_val_ref_ssim__MAX","12139524_240929_232850S10_UN4_CN4 - val_val_ref_ssim","12139524_240929_232850S10_UN4_CN4 - val_val_ref_ssim__MIN","12139524_240929_232850S10_UN4_CN4 - val_val_ref_ssim__MAX","12139520_240929_232302S30_UN4_CN4 - val_val_ref_ssim","12139520_240929_232302S30_UN4_CN4 - val_val_ref_ssim__MIN","12139520_240929_232302S30_UN4_CN4 - val_val_ref_ssim__MAX","12139519_240929_232250S20_UN4_CN4 - val_val_ref_ssim","12139519_240929_232250S20_UN4_CN4 - val_val_ref_ssim__MIN","12139519_240929_232250S20_UN4_CN4 - val_val_ref_ssim__MAX","12139518_240929_232231S10_UN4_CN4 - val_val_ref_ssim","12139518_240929_232231S10_UN4_CN4 - val_val_ref_ssim__MIN","12139518_240929_232231S10_UN4_CN4 - val_val_ref_ssim__MAX","12139514_240929_232129S30_UN4_CN4 - val_val_ref_ssim","12139514_240929_232129S30_UN4_CN4 - val_val_ref_ssim__MIN","12139514_240929_232129S30_UN4_CN4 - val_val_ref_ssim__MAX","12139512_240929_232056S10_UN4_CN4 - val_val_ref_ssim","12139512_240929_232056S10_UN4_CN4 - val_val_ref_ssim__MIN","12139512_240929_232056S10_UN4_CN4 - val_val_ref_ssim__MAX","12139513_240929_232052S20_UN4_CN4 - val_val_ref_ssim","12139513_240929_232052S20_UN4_CN4 - val_val_ref_ssim__MIN","12139513_240929_232052S20_UN4_CN4 - val_val_ref_ssim__MAX","12139488_240929_231736S10_UN4 - val_val_ref_ssim","12139488_240929_231736S10_UN4 - val_val_ref_ssim__MIN","12139488_240929_231736S10_UN4 - val_val_ref_ssim__MAX","12139495_240929_231734S20_UN4 - val_val_ref_ssim","12139495_240929_231734S20_UN4 - val_val_ref_ssim__MIN","12139495_240929_231734S20_UN4 - val_val_ref_ssim__MAX","12139501_240929_231732S20_UN4 - val_val_ref_ssim","12139501_240929_231732S20_UN4 - val_val_ref_ssim__MIN","12139501_240929_231732S20_UN4 - val_val_ref_ssim__MAX","12139490_240929_231736S30_UN4 - val_val_ref_ssim","12139490_240929_231736S30_UN4 - val_val_ref_ssim__MIN","12139490_240929_231736S30_UN4 - val_val_ref_ssim__MAX","12139502_240929_231732S30_UN4 - val_val_ref_ssim","12139502_240929_231732S30_UN4 - val_val_ref_ssim__MIN","12139502_240929_231732S30_UN4 - val_val_ref_ssim__MAX","12139500_240929_231732S10_UN4 - val_val_ref_ssim","12139500_240929_231732S10_UN4 - val_val_ref_ssim__MIN","12139500_240929_231732S10_UN4 - val_val_ref_ssim__MAX","12139489_240929_231736S20_UN4 - val_val_ref_ssim","12139489_240929_231736S20_UN4 - val_val_ref_ssim__MIN","12139489_240929_231736S20_UN4 - val_val_ref_ssim__MAX","12139496_240929_231736S30_UN4 - val_val_ref_ssim","12139496_240929_231736S30_UN4 - val_val_ref_ssim__MIN","12139496_240929_231736S30_UN4 - val_val_ref_ssim__MAX","12139483_240929_231732S20_UN4 - val_val_ref_ssim","12139483_240929_231732S20_UN4 - val_val_ref_ssim__MIN","12139483_240929_231732S20_UN4 - val_val_ref_ssim__MAX","12139484_240929_231732S30_UN4 - val_val_ref_ssim","12139484_240929_231732S30_UN4 - val_val_ref_ssim__MIN","12139484_240929_231732S30_UN4 - val_val_ref_ssim__MAX","12139494_240929_231730S10_UN4 - val_val_ref_ssim","12139494_240929_231730S10_UN4 - val_val_ref_ssim__MIN","12139494_240929_231730S10_UN4 - val_val_ref_ssim__MAX","12139482_240929_231728S10_UN4 - val_val_ref_ssim","12139482_240929_231728S10_UN4 - val_val_ref_ssim__MIN","12139482_240929_231728S10_UN4 - val_val_ref_ssim__MAX","12139506_240929_231707S10_UN4 - val_val_ref_ssim","12139506_240929_231707S10_UN4 - val_val_ref_ssim__MIN","12139506_240929_231707S10_UN4 - val_val_ref_ssim__MAX","12139508_240929_231705S30_UN4 - val_val_ref_ssim","12139508_240929_231705S30_UN4 - val_val_ref_ssim__MIN","12139508_240929_231705S30_UN4 - val_val_ref_ssim__MAX","12139507_240929_231705S20_UN4 - val_val_ref_ssim","12139507_240929_231705S20_UN4 - val_val_ref_ssim__MIN","12139507_240929_231705S20_UN4 - val_val_ref_ssim__MAX"
"80","0.6225857138633728","0.6225857138633728","0.6225857138633728","0.6308249235153198","0.6308249235153198","0.6308249235153198","0.6282484531402588","0.6282484531402588","0.6282484531402588","0.6285138130187988","0.6285138130187988","0.6285138130187988","0.626524031162262","0.626524031162262","0.626524031162262","0.6217305660247803","0.6217305660247803","0.6217305660247803","0.4630703032016754","0.4630703032016754","0.4630703032016754","0.45922040939331055","0.45922040939331055","0.45922040939331055","0.45712634921073914","0.45712634921073914","0.45712634921073914","0.43941986560821533","0.43941986560821533","0.43941986560821533","0.43763065338134766","0.43763065338134766","0.43763065338134766","0.4340563714504242","0.4340563714504242","0.4340563714504242","0.6646773219108582","0.6646773219108582","0.6646773219108582","0.6629300713539124","0.6629300713539124","0.6629300713539124","0.668507993221283","0.668507993221283","0.668507993221283","0.4349168539047241","0.4349168539047241","0.4349168539047241","0.4591410756111145","0.4591410756111145","0.4591410756111145","0.6242095232009888","0.6242095232009888","0.6242095232009888","0.4397103786468506","0.4397103786468506","0.4397103786468506","0.6268900632858276","0.6268900632858276","0.6268900632858276","0.6210111379623413","0.6210111379623413","0.6210111379623413","0.4404754936695099","0.4404754936695099","0.4404754936695099","0.46365243196487427","0.46365243196487427","0.46365243196487427","0.6683715581893921","0.6683715581893921","0.6683715581893921","0.666117787361145","0.666117787361145","0.666117787361145","0.456632137298584","0.456632137298584","0.456632137298584","0.6633622646331787","0.6633622646331787","0.6633622646331787","0.6289398074150085","0.6289398074150085","0.6289398074150085","0.6253620386123657","0.6253620386123657","0.6253620386123657","0.6309373378753662","0.6309373378753662","0.6309373378753662"
"160","0.6296857595443726","0.6296857595443726","0.6296857595443726","0.632595956325531","0.632595956325531","0.632595956325531","0.6281591653823853","0.6281591653823853","0.6281591653823853","0.6318562030792236","0.6318562030792236","0.6318562030792236","0.6317601799964905","0.6317601799964905","0.6317601799964905","0.6220664978027344","0.6220664978027344","0.6220664978027344","0.46433156728744507","0.46433156728744507","0.46433156728744507","0.46093904972076416","0.46093904972076416","0.46093904972076416","0.4574306607246399","0.4574306607246399","0.4574306607246399","0.434060275554657","0.434060275554657","0.434060275554657","0.43531519174575806","0.43531519174575806","0.43531519174575806","0.4342575669288635","0.4342575669288635","0.4342575669288635","0.6615361571311951","0.6615361571311951","0.6615361571311951","0.6603321433067322","0.6603321433067322","0.6603321433067322","0.6654276251792908","0.6654276251792908","0.6654276251792908","0.43593546748161316","0.43593546748161316","0.43593546748161316","0.46098190546035767","0.46098190546035767","0.46098190546035767","0.6284711956977844","0.6284711956977844","0.6284711956977844","0.43784844875335693","0.43784844875335693","0.43784844875335693","0.6292729377746582","0.6292729377746582","0.6292729377746582","0.6219684481620789","0.6219684481620789","0.6219684481620789","0.4391111135482788","0.4391111135482788","0.4391111135482788","0.46513038873672485","0.46513038873672485","0.46513038873672485","0.6664719581604004","0.6664719581604004","0.6664719581604004","0.6632265448570251","0.6632265448570251","0.6632265448570251","0.4573664665222168","0.4573664665222168","0.4573664665222168","0.6618233323097229","0.6618233323097229","0.6618233323097229","0.6285176277160645","0.6285176277160645","0.6285176277160645","0.6304866671562195","0.6304866671562195","0.6304866671562195","0.6324397921562195","0.6324397921562195","0.6324397921562195"
"240","0.6210445761680603","0.6210445761680603","0.6210445761680603","0.6311790347099304","0.6311790347099304","0.6311790347099304","0.6292405724525452","0.6292405724525452","0.6292405724525452","0.6312621235847473","0.6312621235847473","0.6312621235847473","0.631765604019165","0.631765604019165","0.631765604019165","0.622326135635376","0.622326135635376","0.622326135635376","0.45937082171440125","0.45937082171440125","0.45937082171440125","0.462743878364563","0.462743878364563","0.462743878364563","0.45717355608940125","0.45717355608940125","0.45717355608940125","0.43610379099845886","0.43610379099845886","0.43610379099845886","0.43831726908683777","0.43831726908683777","0.43831726908683777","0.436794251203537","0.436794251203537","0.436794251203537","0.6606659889221191","0.6606659889221191","0.6606659889221191","0.6615977883338928","0.6615977883338928","0.6615977883338928","0.6664319038391113","0.6664319038391113","0.6664319038391113","0.43676063418388367","0.43676063418388367","0.43676063418388367","0.46161383390426636","0.46161383390426636","0.46161383390426636","0.6294572353363037","0.6294572353363037","0.6294572353363037","0.4349198341369629","0.4349198341369629","0.4349198341369629","0.62815260887146","0.62815260887146","0.62815260887146","0.6217610836029053","0.6217610836029053","0.6217610836029053","0.4402509927749634","0.4402509927749634","0.4402509927749634","0.45949891209602356","0.45949891209602356","0.45949891209602356","0.6649472713470459","0.6649472713470459","0.6649472713470459","0.6624637246131897","0.6624637246131897","0.6624637246131897","0.4577547311782837","0.4577547311782837","0.4577547311782837","0.6635947227478027","0.6635947227478027","0.6635947227478027","0.6296133399009705","0.6296133399009705","0.6296133399009705","0.6212372779846191","0.6212372779846191","0.6212372779846191","0.6308701038360596","0.6308701038360596","0.6308701038360596"
"320","0.6255717873573303","0.6255717873573303","0.6255717873573303","0.6307134032249451","0.6307134032249451","0.6307134032249451","0.6300902962684631","0.6300902962684631","0.6300902962684631","0.6366868019104004","0.6366868019104004","0.6366868019104004","0.6298776268959045","0.6298776268959045","0.6298776268959045","0.6242095828056335","0.6242095828056335","0.6242095828056335","0.4609946012496948","0.4609946012496948","0.4609946012496948","0.4633147120475769","0.4633147120475769","0.4633147120475769","0.4561663568019867","0.4561663568019867","0.4561663568019867","0.44430720806121826","0.44430720806121826","0.44430720806121826","0.4389890730381012","0.4389890730381012","0.4389890730381012","0.4331127107143402","0.4331127107143402","0.4331127107143402","0.6613919138908386","0.6613919138908386","0.6613919138908386","0.6621072292327881","0.6621072292327881","0.6621072292327881","0.6640309691429138","0.6640309691429138","0.6640309691429138","0.43236044049263","0.43236044049263","0.43236044049263","0.46095284819602966","0.46095284819602966","0.46095284819602966","0.6251609325408936","0.6251609325408936","0.6251609325408936","0.44193902611732483","0.44193902611732483","0.44193902611732483","0.6322587132453918","0.6322587132453918","0.6322587132453918","0.623671293258667","0.623671293258667","0.623671293258667","0.43625199794769287","0.43625199794769287","0.43625199794769287","0.46172162890434265","0.46172162890434265","0.46172162890434265","0.6628494262695312","0.6628494262695312","0.6628494262695312","0.6652827262878418","0.6652827262878418","0.6652827262878418","0.45678573846817017","0.45678573846817017","0.45678573846817017","0.6615716814994812","0.6615716814994812","0.6615716814994812","0.629797637462616","0.629797637462616","0.629797637462616","0.6222684383392334","0.6222684383392334","0.6222684383392334","0.6292312741279602","0.6292312741279602","0.6292312741279602"
"400","0.6249220371246338","0.6249220371246338","0.6249220371246338","0.6311417818069458","0.6311417818069458","0.6311417818069458","0.6302820444107056","0.6302820444107056","0.6302820444107056","0.6402280330657959","0.6402280330657959","0.6402280330657959","0.6343027949333191","0.6343027949333191","0.6343027949333191","0.6267125606536865","0.6267125606536865","0.6267125606536865","0.4652368426322937","0.4652368426322937","0.4652368426322937","0.4617706537246704","0.4617706537246704","0.4617706537246704","0.45869579911231995","0.45869579911231995","0.45869579911231995","0.449679970741272","0.449679970741272","0.449679970741272","0.439528226852417","0.439528226852417","0.439528226852417","0.43253806233406067","0.43253806233406067","0.43253806233406067","0.6561582684516907","0.6561582684516907","0.6561582684516907","0.6633238792419434","0.6633238792419434","0.6633238792419434","0.664623498916626","0.664623498916626","0.664623498916626","0.43260860443115234","0.43260860443115234","0.43260860443115234","0.45930182933807373","0.45930182933807373","0.45930182933807373","0.6294141411781311","0.6294141411781311","0.6294141411781311","0.4376464784145355","0.4376464784145355","0.4376464784145355","0.6345127820968628","0.6345127820968628","0.6345127820968628","0.6240774989128113","0.6240774989128113","0.6240774989128113","0.43849676847457886","0.43849676847457886","0.43849676847457886","0.46089044213294983","0.46089044213294983","0.46089044213294983","0.6617051959037781","0.6617051959037781","0.6617051959037781","0.6586484909057617","0.6586484909057617","0.6586484909057617","0.4582441449165344","0.4582441449165344","0.4582441449165344","0.6626608967781067","0.6626608967781067","0.6626608967781067","0.6298947334289551","0.6298947334289551","0.6298947334289551","0.6247798204421997","0.6247798204421997","0.6247798204421997","0.6287875771522522","0.6287875771522522","0.6287875771522522"
"480","0.6271764039993286","0.6271764039993286","0.6271764039993286","0.6311078071594238","0.6311078071594238","0.6311078071594238","0.6302595734596252","0.6302595734596252","0.6302595734596252","0.6350805163383484","0.6350805163383484","0.6350805163383484","0.6358420848846436","0.6358420848846436","0.6358420848846436","0.6227738857269287","0.6227738857269287","0.6227738857269287","0.4693053066730499","0.4693053066730499","0.4693053066730499","0.4645872712135315","0.4645872712135315","0.4645872712135315","0.45935672521591187","0.45935672521591187","0.45935672521591187","0.4410986006259918","0.4410986006259918","0.4410986006259918","0.4358183741569519","0.4358183741569519","0.4358183741569519","0.4321606159210205","0.4321606159210205","0.4321606159210205","0.6576693058013916","0.6576693058013916","0.6576693058013916","0.6611446738243103","0.6611446738243103","0.6611446738243103","0.6656704545021057","0.6656704545021057","0.6656704545021057","0.43217191100120544","0.43217191100120544","0.43217191100120544","0.4628399610519409","0.4628399610519409","0.4628399610519409","0.6329308748245239","0.6329308748245239","0.6329308748245239","0.4231409430503845","0.4231409430503845","0.4231409430503845","0.631469190120697","0.631469190120697","0.631469190120697","0.622094452381134","0.622094452381134","0.622094452381134","0.4338831305503845","0.4338831305503845","0.4338831305503845","0.46360915899276733","0.46360915899276733","0.46360915899276733","0.6641324758529663","0.6641324758529663","0.6641324758529663","0.6589376330375671","0.6589376330375671","0.6589376330375671","0.45831969380378723","0.45831969380378723","0.45831969380378723","0.6611042022705078","0.6611042022705078","0.6611042022705078","0.6303768754005432","0.6303768754005432","0.6303768754005432","0.6248148083686829","0.6248148083686829","0.6248148083686829","0.6304523944854736","0.6304523944854736","0.6304523944854736"
"560","0.6310533881187439","0.6310533881187439","0.6310533881187439","0.6342995762825012","0.6342995762825012","0.6342995762825012","0.629971444606781","0.629971444606781","0.629971444606781","0.6425013542175293","0.6425013542175293","0.6425013542175293","0.6335323452949524","0.6335323452949524","0.6335323452949524","0.6266710758209229","0.6266710758209229","0.6266710758209229","0.4658795893192291","0.4658795893192291","0.4658795893192291","0.4654236137866974","0.4654236137866974","0.4654236137866974","0.45937579870224","0.45937579870224","0.45937579870224","0.4501405656337738","0.4501405656337738","0.4501405656337738","0.43998607993125916","0.43998607993125916","0.43998607993125916","0.4366757571697235","0.4366757571697235","0.4366757571697235","0.664392352104187","0.664392352104187","0.664392352104187","0.6639640927314758","0.6639640927314758","0.6639640927314758","0.6680057644844055","0.6680057644844055","0.6680057644844055","0.4350835680961609","0.4350835680961609","0.4350835680961609","0.4617020785808563","0.4617020785808563","0.4617020785808563","0.6292529702186584","0.6292529702186584","0.6292529702186584","0.434854120016098","0.434854120016098","0.434854120016098","0.6319919228553772","0.6319919228553772","0.6319919228553772","0.6253809332847595","0.6253809332847595","0.6253809332847595","0.43636956810951233","0.43636956810951233","0.43636956810951233","0.4614267945289612","0.4614267945289612","0.4614267945289612","0.664919912815094","0.664919912815094","0.664919912815094","0.6640354990959167","0.6640354990959167","0.6640354990959167","0.457425594329834","0.457425594329834","0.457425594329834","0.6635857820510864","0.6635857820510864","0.6635857820510864","0.6297365427017212","0.6297365427017212","0.6297365427017212","0.6259276866912842","0.6259276866912842","0.6259276866912842","0.6323252320289612","0.6323252320289612","0.6323252320289612"
"640","0.6283307671546936","0.6283307671546936","0.6283307671546936","0.6309583783149719","0.6309583783149719","0.6309583783149719","0.6282159090042114","0.6282159090042114","0.6282159090042114","0.6374436616897583","0.6374436616897583","0.6374436616897583","0.6378060579299927","0.6378060579299927","0.6378060579299927","0.6291291117668152","0.6291291117668152","0.6291291117668152","0.4699477553367615","0.4699477553367615","0.4699477553367615","0.46405792236328125","0.46405792236328125","0.46405792236328125","0.4611128866672516","0.4611128866672516","0.4611128866672516","0.4488534927368164","0.4488534927368164","0.4488534927368164","0.44081705808639526","0.44081705808639526","0.44081705808639526","0.43859878182411194","0.43859878182411194","0.43859878182411194","0.6655477285385132","0.6655477285385132","0.6655477285385132","0.6627338528633118","0.6627338528633118","0.6627338528633118","0.662980854511261","0.662980854511261","0.662980854511261","0.4361494183540344","0.4361494183540344","0.4361494183540344","0.46277299523353577","0.46277299523353577","0.46277299523353577","0.6317551732063293","0.6317551732063293","0.6317551732063293","0.4367227256298065","0.4367227256298065","0.4367227256298065","0.6287155747413635","0.6287155747413635","0.6287155747413635","0.6260244846343994","0.6260244846343994","0.6260244846343994","0.43475955724716187","0.43475955724716187","0.43475955724716187","0.46500280499458313","0.46500280499458313","0.46500280499458313","0.6611455082893372","0.6611455082893372","0.6611455082893372","0.6583633422851562","0.6583633422851562","0.6583633422851562","0.4591291546821594","0.4591291546821594","0.4591291546821594","0.6614118814468384","0.6614118814468384","0.6614118814468384","0.6279961466789246","0.6279961466789246","0.6279961466789246","0.6220453977584839","0.6220453977584839","0.6220453977584839","0.6283934116363525","0.6283934116363525","0.6283934116363525"
"720","0.6269316673278809","0.6269316673278809","0.6269316673278809","0.6324704885482788","0.6324704885482788","0.6324704885482788","0.6311700344085693","0.6311700344085693","0.6311700344085693","0.6341793537139893","0.6341793537139893","0.6341793537139893","0.6367219090461731","0.6367219090461731","0.6367219090461731","0.6282079815864563","0.6282079815864563","0.6282079815864563","0.4633578956127167","0.4633578956127167","0.4633578956127167","0.463089257478714","0.463089257478714","0.463089257478714","0.45853057503700256","0.45853057503700256","0.45853057503700256","0.450531542301178","0.450531542301178","0.450531542301178","0.4437245726585388","0.4437245726585388","0.4437245726585388","0.4366551339626312","0.4366551339626312","0.4366551339626312","0.658950924873352","0.658950924873352","0.658950924873352","0.664833128452301","0.664833128452301","0.664833128452301","0.6686909198760986","0.6686909198760986","0.6686909198760986","0.43589115142822266","0.43589115142822266","0.43589115142822266","0.4598900377750397","0.4598900377750397","0.4598900377750397","0.6294819116592407","0.6294819116592407","0.6294819116592407","0.4391663074493408","0.4391663074493408","0.4391663074493408","0.6315653920173645","0.6315653920173645","0.6315653920173645","0.6251769065856934","0.6251769065856934","0.6251769065856934","0.43780040740966797","0.43780040740966797","0.43780040740966797","0.46063724160194397","0.46063724160194397","0.46063724160194397","0.6645416021347046","0.6645416021347046","0.6645416021347046","0.6571757793426514","0.6571757793426514","0.6571757793426514","0.45692121982574463","0.45692121982574463","0.45692121982574463","0.6629430651664734","0.6629430651664734","0.6629430651664734","0.6306542158126831","0.6306542158126831","0.6306542158126831","0.6200718879699707","0.6200718879699707","0.6200718879699707","0.6310393214225769","0.6310393214225769","0.6310393214225769"
"800","0.6244461536407471","0.6244461536407471","0.6244461536407471","0.6333438158035278","0.6333438158035278","0.6333438158035278","0.6299099326133728","0.6299099326133728","0.6299099326133728","0.6402894854545593","0.6402894854545593","0.6402894854545593","0.6375198364257812","0.6375198364257812","0.6375198364257812","0.6282148361206055","0.6282148361206055","0.6282148361206055","0.46302157640457153","0.46302157640457153","0.46302157640457153","0.4643218219280243","0.4643218219280243","0.4643218219280243","0.4594298303127289","0.4594298303127289","0.4594298303127289","0.4566241204738617","0.4566241204738617","0.4566241204738617","0.44373998045921326","0.44373998045921326","0.44373998045921326","0.4369778037071228","0.4369778037071228","0.4369778037071228","0.6650323271751404","0.6650323271751404","0.6650323271751404","0.6631863713264465","0.6631863713264465","0.6631863713264465","0.6681308746337891","0.6681308746337891","0.6681308746337891","0.43490779399871826","0.43490779399871826","0.43490779399871826","0.4619370102882385","0.4619370102882385","0.4619370102882385","0.6336565613746643","0.6336565613746643","0.6336565613746643","0.4391205906867981","0.4391205906867981","0.4391205906867981","0.6358686089515686","0.6358686089515686","0.6358686089515686","0.6246945261955261","0.6246945261955261","0.6246945261955261","0.43763020634651184","0.43763020634651184","0.43763020634651184","0.45959076285362244","0.45959076285362244","0.45959076285362244","0.6654850840568542","0.6654850840568542","0.6654850840568542","0.6654497385025024","0.6654497385025024","0.6654497385025024","0.4574885070323944","0.4574885070323944","0.4574885070323944","0.6610770225524902","0.6610770225524902","0.6610770225524902","0.6285891532897949","0.6285891532897949","0.6285891532897949","0.6210063099861145","0.6210063099861145","0.6210063099861145","0.6305721998214722","0.6305721998214722","0.6305721998214722"
