"Step","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20241018_194216_12222554 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20241018_194216_12222552 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20241018_194215_12222556 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20241018_194215_12222555 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20241018_194215_12222555 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20241018_194215_12222555 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/lane_shift_0_fid","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MIN","20241018_194215_12222553 - Eval Images Metrics Dict (all images)/lane_shift_0_fid__MAX"
"5000","24.42473602294922","24.42473602294922","24.42473602294922","34.56012725830078","34.56012725830078","34.56012725830078","45.66475296020508","45.66475296020508","45.66475296020508","65.56849670410156","65.56849670410156","65.56849670410156","35.17660140991211","35.17660140991211","35.17660140991211"
"10000","21.525388717651367","21.525388717651367","21.525388717651367","30.296398162841797","30.296398162841797","30.296398162841797","44.28656768798828","44.28656768798828","44.28656768798828","","","","33.72409439086914","33.72409439086914","33.72409439086914"
"15000","20.26242446899414","20.26242446899414","20.26242446899414","29.392921447753906","29.392921447753906","29.392921447753906","39.111175537109375","39.111175537109375","39.111175537109375","","","","31.615787506103516","31.615787506103516","31.615787506103516"
"20000","19.826007843017578","19.826007843017578","19.826007843017578","27.488521575927734","27.488521575927734","27.488521575927734","38.096004486083984","38.096004486083984","38.096004486083984","","","","33.1439323425293","33.1439323425293","33.1439323425293"
"25000","19.80411148071289","19.80411148071289","19.80411148071289","27.099475860595703","27.099475860595703","27.099475860595703","40.790531158447266","40.790531158447266","40.790531158447266","","","","30.43190574645996","30.43190574645996","30.43190574645996"
"30000","19.971656799316406","19.971656799316406","19.971656799316406","26.769054412841797","26.769054412841797","26.769054412841797","38.03340148925781","38.03340148925781","38.03340148925781","","","","30.056432723999023","30.056432723999023","30.056432723999023"
"35000","19.699790954589844","19.699790954589844","19.699790954589844","26.4208927154541","26.4208927154541","26.4208927154541","35.99707794189453","35.99707794189453","35.99707794189453","","","","29.163759231567383","29.163759231567383","29.163759231567383"
"40000","19.369232177734375","19.369232177734375","19.369232177734375","45.797420501708984","45.797420501708984","45.797420501708984","36.21958923339844","36.21958923339844","36.21958923339844","","","","29.101102828979492","29.101102828979492","29.101102828979492"
