"Step","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/lane_shift_4_fid","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MIN","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/lane_shift_4_fid__MAX"
"5000","123.31832885742188","123.31832885742188","123.31832885742188","142.4862518310547","142.4862518310547","142.4862518310547","137.56016540527344","137.56016540527344","137.56016540527344","129.1488037109375","129.1488037109375","129.1488037109375","123.51499938964844","123.51499938964844","123.51499938964844","132.06814575195312","132.06814575195312","132.06814575195312","120.682373046875","120.682373046875","120.682373046875","147.0965576171875","147.0965576171875","147.0965576171875","130.8497314453125","130.8497314453125","130.8497314453125","134.53521728515625","134.53521728515625","134.53521728515625","141.1062774658203","141.1062774658203","141.1062774658203","133.80482482910156","133.80482482910156","133.80482482910156"
"10000","126.61903381347656","126.61903381347656","126.61903381347656","135.68048095703125","135.68048095703125","135.68048095703125","137.25918579101562","137.25918579101562","137.25918579101562","128.47506713867188","128.47506713867188","128.47506713867188","120.99662017822266","120.99662017822266","120.99662017822266","125.28433227539062","125.28433227539062","125.28433227539062","160.0312957763672","160.0312957763672","160.0312957763672","141.2755126953125","141.2755126953125","141.2755126953125","126.52284240722656","126.52284240722656","126.52284240722656","168.2173309326172","168.2173309326172","168.2173309326172","139.7679901123047","139.7679901123047","139.7679901123047","125.56900024414062","125.56900024414062","125.56900024414062"
"15000","126.7042236328125","126.7042236328125","126.7042236328125","143.11463928222656","143.11463928222656","143.11463928222656","138.5057830810547","138.5057830810547","138.5057830810547","124.39968872070312","124.39968872070312","124.39968872070312","121.03140258789062","121.03140258789062","121.03140258789062","123.01338195800781","123.01338195800781","123.01338195800781","187.0866241455078","187.0866241455078","187.0866241455078","139.35165405273438","139.35165405273438","139.35165405273438","127.39502716064453","127.39502716064453","127.39502716064453","","","","139.39427185058594","139.39427185058594","139.39427185058594","123.8097915649414","123.8097915649414","123.8097915649414"
"20000","130.84356689453125","130.84356689453125","130.84356689453125","138.42056274414062","138.42056274414062","138.42056274414062","135.40243530273438","135.40243530273438","135.40243530273438","126.9816665649414","126.9816665649414","126.9816665649414","126.76708984375","126.76708984375","126.76708984375","127.29397583007812","127.29397583007812","127.29397583007812","188.2897491455078","188.2897491455078","188.2897491455078","139.21340942382812","139.21340942382812","139.21340942382812","127.75518035888672","127.75518035888672","127.75518035888672","","","","139.03895568847656","139.03895568847656","139.03895568847656","126.78900909423828","126.78900909423828","126.78900909423828"
"25000","185.727294921875","185.727294921875","185.727294921875","141.49562072753906","141.49562072753906","141.49562072753906","141.2003936767578","141.2003936767578","141.2003936767578","125.2569351196289","125.2569351196289","125.2569351196289","146.0871124267578","146.0871124267578","146.0871124267578","125.9653549194336","125.9653549194336","125.9653549194336","200.02249145507812","200.02249145507812","200.02249145507812","137.42214965820312","137.42214965820312","137.42214965820312","126.3091049194336","126.3091049194336","126.3091049194336","","","","137.19969177246094","137.19969177246094","137.19969177246094","125.2260513305664","125.2260513305664","125.2260513305664"
"30000","190.42355346679688","190.42355346679688","190.42355346679688","136.8842315673828","136.8842315673828","136.8842315673828","199.71023559570312","199.71023559570312","199.71023559570312","128.9977569580078","128.9977569580078","128.9977569580078","","","","130.6371307373047","130.6371307373047","130.6371307373047","193.4078826904297","193.4078826904297","193.4078826904297","137.97080993652344","137.97080993652344","137.97080993652344","127.57050323486328","127.57050323486328","127.57050323486328","","","","139.11163330078125","139.11163330078125","139.11163330078125","125.14167785644531","125.14167785644531","125.14167785644531"
"35000","181.2720184326172","181.2720184326172","181.2720184326172","138.7384796142578","138.7384796142578","138.7384796142578","","","","125.09400177001953","125.09400177001953","125.09400177001953","","","","125.61271667480469","125.61271667480469","125.61271667480469","","","","141.1835479736328","141.1835479736328","141.1835479736328","125.7353515625","125.7353515625","125.7353515625","","","","135.56874084472656","135.56874084472656","135.56874084472656","127.67542266845703","127.67542266845703","127.67542266845703"
"40000","","","","135.32638549804688","135.32638549804688","135.32638549804688","","","","129.7100067138672","129.7100067138672","129.7100067138672","","","","126.677978515625","126.677978515625","126.677978515625","","","","136.32032775878906","136.32032775878906","136.32032775878906","177.44432067871094","177.44432067871094","177.44432067871094","","","","138.24252319335938","138.24252319335938","138.24252319335938","123.4256591796875","123.4256591796875","123.4256591796875"
