"Step","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/lpips","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/lpips__MIN","20240930_233525_12146255 - Eval Images Metrics Dict (all images)/lpips__MAX","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/lpips","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/lpips__MIN","20240930_233525_12146254 - Eval Images Metrics Dict (all images)/lpips__MAX","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/lpips","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/lpips__MIN","20240930_233525_12146251 - Eval Images Metrics Dict (all images)/lpips__MAX","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/lpips","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/lpips__MIN","20240930_233524_12146253 - Eval Images Metrics Dict (all images)/lpips__MAX","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/lpips","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/lpips__MIN","20240930_233524_12146252 - Eval Images Metrics Dict (all images)/lpips__MAX","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/lpips","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/lpips__MIN","20240930_233524_12146250 - Eval Images Metrics Dict (all images)/lpips__MAX","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/lpips","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/lpips__MIN","20240930_233524_12146249 - Eval Images Metrics Dict (all images)/lpips__MAX","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/lpips","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/lpips__MIN","20240930_233524_12146248 - Eval Images Metrics Dict (all images)/lpips__MAX","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/lpips","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/lpips__MIN","20240930_233524_12146247 - Eval Images Metrics Dict (all images)/lpips__MAX","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/lpips","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/lpips__MIN","20240930_233524_12146246 - Eval Images Metrics Dict (all images)/lpips__MAX","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/lpips","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/lpips__MIN","20240930_233524_12146245 - Eval Images Metrics Dict (all images)/lpips__MAX","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/lpips","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/lpips__MIN","20240930_233524_12146244 - Eval Images Metrics Dict (all images)/lpips__MAX"
"5000","0.1645323783159256","0.1645323783159256","0.1645323783159256","0.2298886775970459","0.2298886775970459","0.2298886775970459","0.22150571644306183","0.22150571644306183","0.22150571644306183","0.18469546735286713","0.18469546735286713","0.18469546735286713","0.15677553415298462","0.15677553415298462","0.15677553415298462","0.1891770213842392","0.1891770213842392","0.1891770213842392","0.1665003001689911","0.1665003001689911","0.1665003001689911","0.22287233173847198","0.22287233173847198","0.22287233173847198","0.19861526787281036","0.19861526787281036","0.19861526787281036","0.1954975128173828","0.1954975128173828","0.1954975128173828","0.22903117537498474","0.22903117537498474","0.22903117537498474","0.20097413659095764","0.20097413659095764","0.20097413659095764"
"10000","0.1565220057964325","0.1565220057964325","0.1565220057964325","0.210405632853508","0.210405632853508","0.210405632853508","0.21208155155181885","0.21208155155181885","0.21208155155181885","0.18113556504249573","0.18113556504249573","0.18113556504249573","0.15986575186252594","0.15986575186252594","0.15986575186252594","0.17703911662101746","0.17703911662101746","0.17703911662101746","0.3646073043346405","0.3646073043346405","0.3646073043346405","0.21168223023414612","0.21168223023414612","0.21168223023414612","0.18046841025352478","0.18046841025352478","0.18046841025352478","0.3539620637893677","0.3539620637893677","0.3539620637893677","0.2127670794725418","0.2127670794725418","0.2127670794725418","0.1796889752149582","0.1796889752149582","0.1796889752149582"
"15000","0.14407043159008026","0.14407043159008026","0.14407043159008026","0.20192401111125946","0.20192401111125946","0.20192401111125946","0.20067210495471954","0.20067210495471954","0.20067210495471954","0.1726262867450714","0.1726262867450714","0.1726262867450714","0.14371895790100098","0.14371895790100098","0.14371895790100098","0.16867554187774658","0.16867554187774658","0.16867554187774658","0.5542992353439331","0.5542992353439331","0.5542992353439331","0.1999538391828537","0.1999538391828537","0.1999538391828537","0.1676110327243805","0.1676110327243805","0.1676110327243805","","","","0.20034317672252655","0.20034317672252655","0.20034317672252655","0.17000791430473328","0.17000791430473328","0.17000791430473328"
"20000","0.16518554091453552","0.16518554091453552","0.16518554091453552","0.19541767239570618","0.19541767239570618","0.19541767239570618","0.1973087340593338","0.1973087340593338","0.1973087340593338","0.16605855524539948","0.16605855524539948","0.16605855524539948","0.1661195456981659","0.1661195456981659","0.1661195456981659","0.16438168287277222","0.16438168287277222","0.16438168287277222","0.5725614428520203","0.5725614428520203","0.5725614428520203","0.1971844881772995","0.1971844881772995","0.1971844881772995","0.16589970886707306","0.16589970886707306","0.16589970886707306","","","","0.19589856266975403","0.19589856266975403","0.19589856266975403","0.16644468903541565","0.16644468903541565","0.16644468903541565"
"25000","0.3701719641685486","0.3701719641685486","0.3701719641685486","0.19388075172901154","0.19388075172901154","0.19388075172901154","0.19241748750209808","0.19241748750209808","0.19241748750209808","0.16194477677345276","0.16194477677345276","0.16194477677345276","0.191269189119339","0.191269189119339","0.191269189119339","0.1622089445590973","0.1622089445590973","0.1622089445590973","0.6378927230834961","0.6378927230834961","0.6378927230834961","0.19015048444271088","0.19015048444271088","0.19015048444271088","0.1628464311361313","0.1628464311361313","0.1628464311361313","","","","0.19085170328617096","0.19085170328617096","0.19085170328617096","0.16196583211421967","0.16196583211421967","0.16196583211421967"
"30000","0.37765586376190186","0.37765586376190186","0.37765586376190186","0.19182541966438293","0.19182541966438293","0.19182541966438293","0.483813613653183","0.483813613653183","0.483813613653183","0.16378191113471985","0.16378191113471985","0.16378191113471985","","","","0.1622214913368225","0.1622214913368225","0.1622214913368225","0.5942378640174866","0.5942378640174866","0.5942378640174866","0.19288817048072815","0.19288817048072815","0.19288817048072815","0.15902429819107056","0.15902429819107056","0.15902429819107056","","","","0.19085171818733215","0.19085171818733215","0.19085171818733215","0.1590331345796585","0.1590331345796585","0.1590331345796585"
"35000","0.3681221306324005","0.3681221306324005","0.3681221306324005","0.1896202117204666","0.1896202117204666","0.1896202117204666","","","","0.16417406499385834","0.16417406499385834","0.16417406499385834","","","","0.15784087777137756","0.15784087777137756","0.15784087777137756","","","","0.19269400835037231","0.19269400835037231","0.19269400835037231","0.1628611981868744","0.1628611981868744","0.1628611981868744","","","","0.18872439861297607","0.18872439861297607","0.18872439861297607","0.1578506976366043","0.1578506976366043","0.1578506976366043"
"40000","","","","0.18867148458957672","0.18867148458957672","0.18867148458957672","","","","0.16317103803157806","0.16317103803157806","0.16317103803157806","","","","0.157680481672287","0.157680481672287","0.157680481672287","","","","0.18654170632362366","0.18654170632362366","0.18654170632362366","0.4046289026737213","0.4046289026737213","0.4046289026737213","","","","0.18849913775920868","0.18849913775920868","0.18849913775920868","0.15818189084529877","0.15818189084529877","0.15818189084529877"
