"Step","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/psnr","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/psnr__MIN","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/psnr__MAX","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/psnr","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/psnr__MIN","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/psnr__MAX","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/psnr","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/psnr__MIN","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/psnr__MAX"
"5000","26.261066436767578","26.261066436767578","26.261066436767578","25.98406982421875","25.98406982421875","25.98406982421875","26.43123435974121","26.43123435974121","26.43123435974121"
"10000","26.74567222595215","26.74567222595215","26.74567222595215","26.17995834350586","26.17995834350586","26.17995834350586","26.61587905883789","26.61587905883789","26.61587905883789"
"15000","26.343175888061523","26.343175888061523","26.343175888061523","26.21677017211914","26.21677017211914","26.21677017211914","26.866382598876953","26.866382598876953","26.866382598876953"
"20000","","","","26.343591690063477","26.343591690063477","26.343591690063477","26.89750099182129","26.89750099182129","26.89750099182129"
"25000","","","","26.399784088134766","26.399784088134766","26.399784088134766","26.898792266845703","26.898792266845703","26.898792266845703"
"30000","","","","26.39693832397461","26.39693832397461","26.39693832397461","26.9678897857666","26.9678897857666","26.9678897857666"
"35000","","","","26.445934295654297","26.445934295654297","26.445934295654297","26.909099578857422","26.909099578857422","26.909099578857422"
"40000","","","","26.468555450439453","26.468555450439453","26.468555450439453","26.884113311767578","26.884113311767578","26.884113311767578"
