"Step","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/lpips","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/lpips__MIN","20241020_225845_12234257 - Eval Images Metrics Dict (all images)/lpips__MAX","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/lpips","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/lpips__MIN","20241020_225845_12234256 - Eval Images Metrics Dict (all images)/lpips__MAX","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/lpips","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/lpips__MIN","20241020_225845_12234255 - Eval Images Metrics Dict (all images)/lpips__MAX"
"5000","0.16872629523277283","0.16872629523277283","0.16872629523277283","0.23143510520458221","0.23143510520458221","0.23143510520458221","0.18944260478019714","0.18944260478019714","0.18944260478019714"
"10000","0.15199236571788788","0.15199236571788788","0.15199236571788788","0.21323230862617493","0.21323230862617493","0.21323230862617493","0.17983615398406982","0.17983615398406982","0.17983615398406982"
"15000","0.1883634626865387","0.1883634626865387","0.1883634626865387","0.19981452822685242","0.19981452822685242","0.19981452822685242","0.167740136384964","0.167740136384964","0.167740136384964"
"20000","","","","0.19519421458244324","0.19519421458244324","0.19519421458244324","0.1660352647304535","0.1660352647304535","0.1660352647304535"
"25000","","","","0.19024667143821716","0.19024667143821716","0.19024667143821716","0.16193482279777527","0.16193482279777527","0.16193482279777527"
"30000","","","","0.19118085503578186","0.19118085503578186","0.19118085503578186","0.16167110204696655","0.16167110204696655","0.16167110204696655"
"35000","","","","0.1899622678756714","0.1899622678756714","0.1899622678756714","0.16160324215888977","0.16160324215888977","0.16160324215888977"
"40000","","","","0.1966051310300827","0.1966051310300827","0.1966051310300827","0.1596330851316452","0.1596330851316452","0.1596330851316452"
